,MA,dealer,foreign,high_low_diff,investment,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
21,0,5,3,0,1,1,False,0,True,True,6.000245571136475,1.8008426903088885
10,0,3,1,0,3,1,False,0,True,True,6.051209449768066,1.8029614053238632
18,0,5,1,0,1,1,False,0,True,True,5.9689860343933105,1.8029857239966098
19,0,5,1,0,3,1,False,0,True,True,6.022622585296631,1.806947897727983
15,0,3,5,0,1,1,False,0,True,True,6.048931121826172,1.821107635425739
12,0,3,3,0,1,1,False,0,True,True,6.109562397003174,1.8248658292999085
11,0,3,1,0,5,1,False,0,True,True,6.090423583984375,1.8288027474958692
26,0,5,5,0,5,1,False,0,True,True,6.065888404846191,1.8381538825510593
5,0,1,3,0,5,1,False,0,True,True,6.102941036224365,1.839081026901965
24,0,5,5,0,1,1,False,0,True,True,6.094130516052246,1.8400293044893667
1,0,1,1,0,3,1,False,0,True,True,6.11860990524292,1.8403677470640918
7,0,1,5,0,3,1,False,0,True,True,6.104645729064941,1.843141242071452
17,0,3,5,0,5,1,False,0,True,True,6.106752395629883,1.8449576149501874
9,0,3,1,0,1,1,False,0,True,True,6.155524253845215,1.8488764352178821
25,0,5,5,0,3,1,False,0,True,True,6.1231770515441895,1.854803451169212
3,0,1,3,0,1,1,False,0,True,True,6.168245315551758,1.8583708902116853
23,0,5,3,0,5,1,False,0,True,True,6.157419681549072,1.8602772480167808
16,0,3,5,0,3,1,False,0,True,True,6.148820400238037,1.8604113417328803
20,0,5,1,0,5,1,False,0,True,True,6.170904159545898,1.8604942931793604
22,0,5,3,0,3,1,False,0,True,True,6.168462753295898,1.869116146921777
14,0,3,3,0,5,1,False,0,True,True,6.1877031326293945,1.8732541501545044
8,0,1,5,0,5,1,False,0,True,True,6.200965881347656,1.878870964039607
2,0,1,1,0,5,1,False,0,True,True,6.203114986419678,1.8852191810620205
13,0,3,3,0,3,1,False,0,True,True,6.321004390716553,1.9137660160016434
4,0,1,3,0,3,1,False,0,True,True,6.338183879852295,1.9172252721255323
6,0,1,5,0,1,1,False,0,True,True,6.302959442138672,1.9290929891195963
0,0,1,1,0,1,1,False,0,True,True,7.874810695648193,2.435967544079779
