,n_lags,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,1,True,True,6.114925384521484,1.846243362491686
3,4,True,True,6.477668762207031,1.9968011608643095
12,13,True,True,6.94423770904541,2.0390629787112977
4,5,True,True,7.154547691345215,2.1558730061656446
6,7,True,True,7.332266807556152,2.1735809855883734
7,8,True,True,7.102848052978516,2.199269464611203
8,9,True,True,7.813282489776611,2.2584534805779444
2,3,True,True,7.650515079498291,2.269244641075486
11,12,True,True,7.675608158111572,2.314152442025128
14,15,True,True,8.312480926513672,2.427672039106956
1,2,True,True,8.366716384887695,2.4431878087605616
5,6,True,True,8.372966766357422,2.477541281399463
9,10,True,True,9.067410469055176,2.582736253567371
10,11,True,True,9.724489212036133,2.939213708865308
13,14,True,True,9.925198554992676,2.9475708076142304
