,MA,dealer,foreign,high_low_diff,investment,n_lags,ratio_over_1000_shares,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
19,0,5,3,5,1,7,5,0,0,5,5,True,0,False,False,5.301695823669434,1.4404752517375572
0,0,5,3,5,1,7,0,0,0,0,0,True,0,False,False,5.338027000427246,1.466587564395841
1,0,5,3,5,1,7,0,0,0,0,5,True,0,False,False,5.402142524719238,1.4727119421309
22,0,5,3,5,1,7,5,0,5,5,0,True,0,False,False,5.541234493255615,1.502514760099607
4,0,5,3,5,1,7,0,0,5,0,0,True,0,False,False,5.529703140258789,1.5298793823501575
21,0,5,3,5,1,7,5,0,5,0,5,True,0,False,False,5.588244915008545,1.5459467867741958
8,0,5,3,5,1,7,0,5,0,0,0,True,0,False,False,5.633383750915527,1.5908231134484407
2,0,5,3,5,1,7,0,0,0,5,0,True,0,False,False,5.722582817077637,1.6113290895959382
7,0,5,3,5,1,7,0,0,5,5,5,True,0,False,False,6.07486629486084,1.6315794924343325
16,0,5,3,5,1,7,5,0,0,0,0,True,0,False,False,5.8427300453186035,1.6464047777878306
28,0,5,3,5,1,7,5,5,5,0,0,True,0,False,False,8.468121528625488,2.446774185086886
13,0,5,3,5,1,7,0,5,5,0,5,True,0,False,False,8.571527481079102,2.457014861382495
11,0,5,3,5,1,7,0,5,0,5,5,True,0,False,False,8.802352905273438,2.5119417617075466
14,0,5,3,5,1,7,0,5,5,5,0,True,0,False,False,8.479649543762207,2.5159927758880403
15,0,5,3,5,1,7,0,5,5,5,5,True,0,False,False,9.101709365844727,2.67811977227633
30,0,5,3,5,1,7,5,5,5,5,0,True,0,False,False,9.684765815734863,2.7793785619923983
29,0,5,3,5,1,7,5,5,5,0,5,True,0,False,False,9.926743507385254,2.822866211230094
26,0,5,3,5,1,7,5,5,0,5,0,True,0,False,False,10.033982276916504,2.9307187772766756
27,0,5,3,5,1,7,5,5,0,5,5,True,0,False,False,10.997973442077637,3.1158359274926535
25,0,5,3,5,1,7,5,5,0,0,5,True,0,False,False,10.98585319519043,3.317454183258374
31,0,5,3,5,1,7,5,5,5,5,5,True,0,False,False,24.233272552490234,6.7884009964436025
24,0,5,3,5,1,7,5,5,0,0,0,True,0,False,False,24.147674560546875,6.8583034765122095
20,0,5,3,5,1,7,5,0,5,0,0,True,0,False,False,24.615320205688477,7.0436094990494675
17,0,5,3,5,1,7,5,0,0,0,5,True,0,False,False,24.61739730834961,7.133708250135467
5,0,5,3,5,1,7,0,0,5,0,5,True,0,False,False,26.0810489654541,7.211715663843601
3,0,5,3,5,1,7,0,0,0,5,5,True,0,False,False,27.626102447509766,7.62226554156091
18,0,5,3,5,1,7,5,0,0,5,0,True,0,False,False,27.184648513793945,7.6354599830576975
9,0,5,3,5,1,7,0,5,0,0,5,True,0,False,False,27.826732635498047,7.719294447955996
6,0,5,3,5,1,7,0,0,5,5,0,True,0,False,False,27.82847023010254,7.764991480520059
10,0,5,3,5,1,7,0,5,0,5,0,True,0,False,False,29.260417938232422,8.042050319411425
12,0,5,3,5,1,7,0,5,5,0,0,True,0,False,False,33.325439453125,9.310106481938213
23,0,5,3,5,1,7,5,0,5,5,5,True,0,False,False,43.653560638427734,12.330952195855419
