,n_lags,weekly_seasonality,yearly_seasonality,RMSE,MAPE
3,4,True,True,4.297546863555908,2.1293997048301696
7,8,True,True,4.448460578918457,2.189657967056425
6,7,True,True,4.867243766784668,2.2679514441951274
8,9,True,True,5.060917377471924,2.3215300957597758
1,2,True,True,5.227499961853027,2.406359073451327
2,3,True,True,5.047778129577637,2.410600678134325
11,12,True,True,5.163278102874756,2.4908945953802384
4,5,True,True,5.230316638946533,2.5858047915577522
12,13,True,True,5.622795581817627,2.709230813538372
9,10,True,True,6.051653861999512,2.766941555342169
14,15,True,True,5.9238433837890625,2.7933841831918995
5,6,True,True,6.046959400177002,2.9542725984394793
13,14,True,True,6.709167003631592,3.2636820973454133
0,1,True,True,7.439761161804199,3.987641316180245
10,11,True,True,10.696179389953613,5.50127221434577
