,n_lags,use_holidays,weekly_seasonality,yearly_seasonality,RMSE,MAPE
1,4,True,True,False,3.8785643577575684,1.8523283711594147
29,9,False,True,False,4.233084678649902,1.9814038073554732
19,7,True,False,False,4.281098365783691,2.087903376797785
4,4,False,True,True,4.297546863555908,2.1293997048301696
11,8,True,False,False,4.74547004699707,2.129401345304761
12,8,False,True,True,4.448460578918457,2.189657967056425
10,8,True,False,True,4.769202709197998,2.237589960387216
15,8,False,False,False,4.7784600257873535,2.238788350178654
20,7,False,True,True,4.867243766784668,2.2679514441951274
25,9,True,True,False,5.058986663818359,2.2994984164356835
26,9,True,False,True,4.790687084197998,2.301290512476431
28,9,False,True,True,5.060917377471924,2.3215300957597758
22,7,False,False,True,5.097014427185059,2.370134798892698
23,7,False,False,False,4.742171764373779,2.3718265378865735
0,4,True,True,True,4.990166664123535,2.376122040809735
21,7,False,True,False,5.213712692260742,2.4010166900159042
13,8,False,True,False,5.314952373504639,2.456383641190597
24,9,True,True,True,5.222360134124756,2.4869243647566757
31,9,False,False,False,5.493392467498779,2.5130512148398845
27,9,True,False,False,5.348372459411621,2.540600469669789
17,7,True,True,False,5.584239959716797,2.5567453496666634
9,8,True,True,False,5.566246032714844,2.591742360541757
8,8,True,True,True,5.440401554107666,2.6090345266612927
7,4,False,False,False,5.997330665588379,2.766952776542425
14,8,False,False,True,6.252959728240967,2.7707849238175375
3,4,True,False,False,6.056812286376953,2.8012759709792303
5,4,False,True,False,6.203088283538818,2.858840092645614
6,4,False,False,True,6.572819232940674,3.1660119619135387
30,9,False,False,True,6.708255767822266,3.3071235727537887
2,4,True,False,True,7.366137504577637,3.8427772960446798
18,7,True,False,True,8.675076484680176,4.220267603805913
16,7,True,True,True,12.154653549194336,6.378508164678381
