,MA,dealer,foreign,high_low_diff,investment,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
1,10,1,1,10,3,4,True,5,True,False,4.285704612731934,1.9744708169454612
3,10,1,3,10,1,4,True,5,True,False,4.391697406768799,1.9943654660127332
2,10,1,1,10,5,4,True,5,True,False,4.369833946228027,2.0186326440894535
21,10,5,3,10,1,4,True,5,True,False,4.6763105392456055,2.0383133802718283
9,10,3,1,10,1,4,True,5,True,False,4.6409173011779785,2.123876424541294
18,10,5,1,10,1,4,True,5,True,False,4.714052200317383,2.140457969822452
4,10,1,3,10,3,4,True,5,True,False,4.762117862701416,2.1690280515011175
6,10,1,5,10,1,4,True,5,True,False,4.8417582511901855,2.1857075706525055
26,10,5,5,10,5,4,True,5,True,False,5.042220592498779,2.1871523711605922
19,10,5,1,10,3,4,True,5,True,False,5.028359889984131,2.238486140294686
12,10,3,3,10,1,4,True,5,True,False,5.00227165222168,2.2559779018421313
20,10,5,1,10,5,4,True,5,True,False,5.017516136169434,2.308933819696625
10,10,3,1,10,3,4,True,5,True,False,5.013188362121582,2.313590788753135
5,10,1,3,10,5,4,True,5,True,False,5.1012067794799805,2.326269805779404
24,10,5,5,10,1,4,True,5,True,False,5.150996685028076,2.3358349930814106
0,10,1,1,10,1,4,True,5,True,False,5.167222499847412,2.373056848352143
7,10,1,5,10,3,4,True,5,True,False,5.244656085968018,2.380144325014597
23,10,5,3,10,5,4,True,5,True,False,5.341843605041504,2.3892085000069105
22,10,5,3,10,3,4,True,5,True,False,5.2540788650512695,2.390109085589597
11,10,3,1,10,5,4,True,5,True,False,5.291845798492432,2.4101118889936615
8,10,1,5,10,5,4,True,5,True,False,5.212086200714111,2.4101167270022974
25,10,5,5,10,3,4,True,5,True,False,5.41769552230835,2.4292939399487747
15,10,3,5,10,1,4,True,5,True,False,5.559472560882568,2.522497809418268
13,10,3,3,10,3,4,True,5,True,False,5.63449764251709,2.5573333271815586
16,10,3,5,10,3,4,True,5,True,False,5.6013569831848145,2.5968632569473713
17,10,3,5,10,5,4,True,5,True,False,5.70181941986084,2.6295278347894495
14,10,3,3,10,5,4,True,5,True,False,5.705831527709961,2.663810972385598
