,MA,dealer,foreign,high_low_diff,investment,n_lags,ratio_over_1000_shares,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,5,1,1,0,1,3,0,0,0,0,0,True,5,False,False,3.445643424987793,1.444687317464016
12,5,1,1,0,1,3,0,5,5,0,0,True,5,False,False,3.5338001251220703,1.4697647901367608
6,5,1,1,0,1,3,0,0,5,5,0,True,5,False,False,3.571383476257324,1.481831729184797
31,5,1,1,0,1,3,5,5,5,5,5,True,5,False,False,3.5234551429748535,1.5143428888922668
2,5,1,1,0,1,3,0,0,0,5,0,True,5,False,False,3.8609719276428223,1.6721572523440802
8,5,1,1,0,1,3,0,5,0,0,0,True,5,False,False,4.444986820220947,1.8701985667358954
16,5,1,1,0,1,3,5,0,0,0,0,True,5,False,False,4.573864459991455,1.9242447660283601
4,5,1,1,0,1,3,0,0,5,0,0,True,5,False,False,4.768637180328369,2.0260373739745177
1,5,1,1,0,1,3,0,0,0,0,5,True,5,False,False,5.169501781463623,2.276060472836562
14,5,1,1,0,1,3,0,5,5,5,0,True,5,False,False,8.188206672668457,3.475256127650784
22,5,1,1,0,1,3,5,0,5,5,0,True,5,False,False,8.29055404663086,3.6238467191686037
26,5,1,1,0,1,3,5,5,0,5,0,True,5,False,False,8.20996379852295,3.644383656357999
28,5,1,1,0,1,3,5,5,5,0,0,True,5,False,False,8.521742820739746,3.7652340795685793
7,5,1,1,0,1,3,0,0,5,5,5,True,5,False,False,9.296965599060059,4.1050220603824625
10,5,1,1,0,1,3,0,5,0,5,0,True,5,False,False,9.78853988647461,4.1307451545177845
11,5,1,1,0,1,3,0,5,0,5,5,True,5,False,False,9.816075325012207,4.393468401048269
13,5,1,1,0,1,3,0,5,5,0,5,True,5,False,False,9.933111190795898,4.398420074603772
18,5,1,1,0,1,3,5,0,0,5,0,True,5,False,False,10.274795532226562,4.465458099321478
30,5,1,1,0,1,3,5,5,5,5,0,True,5,False,False,10.29718017578125,4.645867208214776
21,5,1,1,0,1,3,5,0,5,0,5,True,5,False,False,10.652360916137695,4.771983444816022
24,5,1,1,0,1,3,5,5,0,0,0,True,5,False,False,11.40900993347168,4.838865017269678
19,5,1,1,0,1,3,5,0,0,5,5,True,5,False,False,11.246005058288574,5.090243333165427
25,5,1,1,0,1,3,5,5,0,0,5,True,5,False,False,11.479024887084961,5.176124731020229
15,5,1,1,0,1,3,0,5,5,5,5,True,5,False,False,12.189657211303711,5.587914529834003
20,5,1,1,0,1,3,5,0,5,0,0,True,5,False,False,12.895731925964355,5.630625279078576
17,5,1,1,0,1,3,5,0,0,0,5,True,5,False,False,14.460221290588379,6.4501778053270415
23,5,1,1,0,1,3,5,0,5,5,5,True,5,False,False,14.740409851074219,6.822192748241335
9,5,1,1,0,1,3,0,5,0,0,5,True,5,False,False,15.749324798583984,7.0572485008256125
27,5,1,1,0,1,3,5,5,0,5,5,True,5,False,False,16.117115020751953,7.145404498439917
3,5,1,1,0,1,3,0,0,0,5,5,True,5,False,False,17.05314064025879,7.570802705540766
5,5,1,1,0,1,3,0,0,5,0,5,True,5,False,False,18.563823699951172,8.604187738336753
29,5,1,1,0,1,3,5,5,5,0,5,True,5,False,False,18.8409366607666,8.675279401770267
