symbol,llama-3-taiwan-8b-instruct,Deepseek-chat-v3-0324,gemma:12b
2382,2.69,1.99,2.58
3231,2.6,2.36,3.17
2330,2.18,1.79,2.56
3443,2.9,2.68,3.67
3661,3.48,3.07,3.92
3035,2.53,2.47,
2345,2.84,2.5,
3711,2.58,2.01,
2308,2.46,1.93,
2301,1.71,1.51,
2385,1.86,1.73,
3017,2.97,2.62,
2368,2.79,2.56,
3533,2.62,2.4,
2376,2.41,1.97,
6669,2.85,2.62,
2356,2.1,1.82,
2317,2.51,1.99,
2454,2.45,1.96,
6213,2.23,2.12,
