symbol,norag,r10,r15,r20,r30
2382,2.57,2.65,2.71,2.58,2.77
3231,2.66,2.72,2.63,2.61,2.57
2330,2.39,2.31,2.17,2.35,2.27
3443,2.94,2.88,2.82,2.87,2.88
3661,3.42,3.41,3.56,3.46,3.35
