symbol,company,avg_price_change,avg_price_change_pct
2301,光寶科,0.016181534724456013,1.62%
2308,台達電,0.014753242720471165,1.48%
2317,鴻海,0.01391993625951247,1.39%
2330,台積電,0.013948510127468682,1.39%
2345,智邦,0.02146753985173281,2.15%
2356,英業達,0.01863205881577593,1.86%
2368,金像電,0.023044380015597787,2.30%
2376,技嘉,0.02128036054225073,2.13%
2382,廣達,0.020555765001236157,2.06%
2385,群光,0.013958503202489939,1.40%
2454,聯發科,0.017314535037238038,1.73%
3017,奇鋐,0.026568059025165007,2.66%
3035,智原,0.02395032499715065,2.40%
3231,緯創,0.02155586862959156,2.16%
3443,創意,0.026695546523811852,2.67%
3533,嘉澤,0.020453301200223463,2.05%
3661,世芯,0.028306394643376143,2.83%
3711,日月光,0.016340791608725466,1.63%
6213,聯茂,0.019532715972314773,1.95%
6669,緯穎,0.026025861897474828,2.60%
