,MA,dealer,foreign,high_low_diff,investment,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
2,0,1,1,5,5,1,True,10,True,False,30.910171508789062,1.6559754685526407
20,0,5,1,5,5,1,True,10,True,False,31.09654998779297,1.6644842682154473
23,0,5,3,5,5,1,True,10,True,False,31.061542510986328,1.6690831695008073
11,0,3,1,5,5,1,True,10,True,False,31.096343994140625,1.6742663960256914
1,0,1,1,5,3,1,True,10,True,False,31.39263153076172,1.6755563114068672
5,0,1,3,5,5,1,True,10,True,False,31.293283462524414,1.6757623265166297
26,0,5,5,5,5,1,True,10,True,False,31.200010299682617,1.6762546228203168
14,0,3,3,5,5,1,True,10,True,False,31.448997497558594,1.6763371787343235
4,0,1,3,5,3,1,True,10,True,False,31.53262710571289,1.677862465347805
17,0,3,5,5,5,1,True,10,True,False,31.085481643676758,1.6799092401191107
3,0,1,3,5,1,1,True,10,True,False,31.673194885253906,1.6822704645744984
18,0,5,1,5,1,1,True,10,True,False,31.508230209350586,1.6830822296819714
9,0,3,1,5,1,1,True,10,True,False,31.48236846923828,1.6858004198694307
10,0,3,1,5,3,1,True,10,True,False,31.523303985595703,1.6942281155398249
8,0,1,5,5,5,1,True,10,True,False,31.38873291015625,1.6959038391111803
25,0,5,5,5,3,1,True,10,True,False,31.4832820892334,1.7004843151439808
22,0,5,3,5,3,1,True,10,True,False,32.02815246582031,1.7020394609297966
12,0,3,3,5,1,1,True,10,True,False,31.786361694335938,1.7038140457772792
19,0,5,1,5,3,1,True,10,True,False,31.719491958618164,1.707182779975902
6,0,1,5,5,1,1,True,10,True,False,31.888046264648438,1.707387675172721
7,0,1,5,5,3,1,True,10,True,False,31.77371597290039,1.7093666379236563
21,0,5,3,5,1,1,True,10,True,False,32.03520965576172,1.7162070431705034
16,0,3,5,5,3,1,True,10,True,False,32.04338073730469,1.71869068384593
13,0,3,3,5,3,1,True,10,True,False,31.948875427246094,1.7205334492035624
24,0,5,5,5,1,1,True,10,True,False,32.2325325012207,1.7250220238750642
15,0,3,5,5,1,1,True,10,True,False,32.04704666137695,1.7257711295108003
0,0,1,1,5,1,1,True,10,True,False,32.328163146972656,1.743717250163554
