,n_lags,weekly_seasonality,yearly_seasonality,RMSE,MAPE
3,4,True,True,35.57452392578125,2.1048959165208876
0,1,True,True,35.54911422729492,2.114607280573262
1,2,True,True,39.93056106567383,2.1230080260352793
8,9,True,True,37.977821350097656,2.123259408189441
6,7,True,True,37.33622741699219,2.146986340768592
7,8,True,True,37.39509582519531,2.173916266756629
2,3,True,True,37.65141296386719,2.197702977856095
11,12,True,True,39.29502868652344,2.310845449196921
12,13,True,True,40.549930572509766,2.330893330703506
4,5,True,True,39.53855895996094,2.3573935926314276
14,15,True,True,44.44290542602539,2.482428602737504
5,6,True,True,43.03148651123047,2.5022583382122883
9,10,True,True,45.873802185058594,2.508602897438729
13,14,True,True,53.942413330078125,3.0957944065816116
10,11,True,True,52.98621368408203,3.131461659162465
