,MA,dealer,foreign,high_low_diff,investment,n_lags,ratio_over_1000_shares,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,10,1,1,10,1,4,0,0,0,0,0,True,10,True,False,25.704771041870117,1.4944711328687577
16,10,1,1,10,1,4,5,0,0,0,0,True,10,True,False,26.74740982055664,1.5514367943098597
1,10,1,1,10,1,4,0,0,0,0,5,True,10,True,False,26.143508911132812,1.5523954821635304
8,10,1,1,10,1,4,0,5,0,0,0,True,10,True,False,26.315006256103516,1.557151100286671
13,10,1,1,10,1,4,0,5,5,0,5,True,10,True,False,26.390161514282227,1.5645824305997111
9,10,1,1,10,1,4,0,5,0,0,5,True,10,True,False,26.217491149902344,1.5767284089987905
2,10,1,1,10,1,4,0,0,0,5,0,True,10,True,False,27.296701431274414,1.5769790203659106
12,10,1,1,10,1,4,0,5,5,0,0,True,10,True,False,26.918983459472656,1.590031668763657
10,10,1,1,10,1,4,0,5,0,5,0,True,10,True,False,27.09104347229004,1.596429027101508
3,10,1,1,10,1,4,0,0,0,5,5,True,10,True,False,27.473045349121094,1.5979455431768812
7,10,1,1,10,1,4,0,0,5,5,5,True,10,True,False,27.605606079101562,1.5984775479997433
17,10,1,1,10,1,4,5,0,0,0,5,True,10,True,False,27.328861236572266,1.5998914444122845
19,10,1,1,10,1,4,5,0,0,5,5,True,10,True,False,27.098730087280273,1.6014643129345048
31,10,1,1,10,1,4,5,5,5,5,5,True,10,True,False,28.083999633789062,1.6106883987732343
21,10,1,1,10,1,4,5,0,5,0,5,True,10,True,False,27.703678131103516,1.6136596585453946
4,10,1,1,10,1,4,0,0,5,0,0,True,10,True,False,27.74631690979004,1.6150509442823564
28,10,1,1,10,1,4,5,5,5,0,0,True,10,True,False,27.606830596923828,1.6263711015145967
5,10,1,1,10,1,4,0,0,5,0,5,True,10,True,False,27.174449920654297,1.6337108455591518
18,10,1,1,10,1,4,5,0,0,5,0,True,10,True,False,28.279287338256836,1.6348404396850706
23,10,1,1,10,1,4,5,0,5,5,5,True,10,True,False,28.113107681274414,1.6367668203063905
11,10,1,1,10,1,4,0,5,0,5,5,True,10,True,False,27.72504425048828,1.6390341053581545
15,10,1,1,10,1,4,0,5,5,5,5,True,10,True,False,27.882944107055664,1.6429579082625732
24,10,1,1,10,1,4,5,5,0,0,0,True,10,True,False,27.847803115844727,1.644490828486991
20,10,1,1,10,1,4,5,0,5,0,0,True,10,True,False,28.014747619628906,1.6600888358975754
30,10,1,1,10,1,4,5,5,5,5,0,True,10,True,False,28.32199478149414,1.6824500212406297
14,10,1,1,10,1,4,0,5,5,5,0,True,10,True,False,29.150930404663086,1.689444110853597
26,10,1,1,10,1,4,5,5,0,5,0,True,10,True,False,28.79749298095703,1.6907469284575274
29,10,1,1,10,1,4,5,5,5,0,5,True,10,True,False,28.705947875976562,1.6984581942188908
25,10,1,1,10,1,4,5,5,0,0,5,True,10,True,False,29.069652557373047,1.7271452688759639
6,10,1,1,10,1,4,0,0,5,5,0,True,10,True,False,29.254770278930664,1.7273249628961054
27,10,1,1,10,1,4,5,5,0,5,5,True,10,True,False,30.735275268554688,1.807458806287829
22,10,1,1,10,1,4,5,0,5,5,0,True,10,True,False,32.22530746459961,1.9091966313842845
