,n_lags,use_holidays,weekly_seasonality,yearly_seasonality,RMSE,MAPE
9,1,True,True,False,31.436845779418945,1.7641756198882859
1,4,True,True,False,31.490131378173828,1.7736243844095751
17,2,True,True,False,31.77275848388672,1.7869661077031025
21,2,False,True,False,31.890155792236328,1.787721932063089
11,1,True,False,False,31.896028518676758,1.7911013449732869
29,9,False,True,False,32.831199645996094,1.8410899089487682
22,2,False,False,True,33.28662872314453,1.8440868904662917
13,1,False,True,False,32.108497619628906,1.8451083721515684
15,1,False,False,False,32.51203918457031,1.8918095230109222
25,9,True,True,False,38.637691497802734,2.072939002324524
23,2,False,False,False,39.0465202331543,2.0862005960004715
10,1,True,False,True,35.59318542480469,2.098635589423794
4,4,False,True,True,35.57452392578125,2.1048959165208876
12,1,False,True,True,35.54911422729492,2.114607280573262
19,2,True,False,False,38.46387481689453,2.1152941959038243
20,2,False,True,True,39.93056106567383,2.1230080260352793
28,9,False,True,True,37.977821350097656,2.123259408189441
8,1,True,True,True,36.093109130859375,2.151168600694327
18,2,True,False,True,38.29548645019531,2.2065572563595817
0,4,True,True,True,39.945308685302734,2.248810575836515
31,9,False,False,False,43.38373565673828,2.2488768361726534
2,4,True,False,True,37.78384017944336,2.2510144653480046
7,4,False,False,False,42.937644958496094,2.292042762608098
27,9,True,False,False,42.226383209228516,2.325408644798042
26,9,True,False,True,40.207298278808594,2.3392980853281116
24,9,True,True,True,41.31721878051758,2.3537394149922166
16,2,True,True,True,41.49056625366211,2.3971953375016737
14,1,False,False,True,40.90041732788086,2.4405017549222703
3,4,True,False,False,46.04452896118164,2.452886681971254
5,4,False,True,False,46.59138488769531,2.4636844458843012
30,9,False,False,True,43.583580017089844,2.4839487137925884
6,4,False,False,True,50.0338134765625,2.834736804048685
