,n_lags,weekly_seasonality,yearly_seasonality,RMSE,MAPE
1,2,True,True,5.371654033660889,2.821893714100899
2,3,True,True,5.538316249847412,3.021747835337906
0,1,True,True,5.599984169006348,3.0508031646069034
3,4,True,True,5.656599521636963,3.1309782849478545
8,9,True,True,6.285416126251221,3.3641743577418772
9,10,True,True,6.612950801849365,3.3878965652837567
4,5,True,True,6.304995059967041,3.4146910346391364
12,13,True,True,6.93064546585083,3.573930227665998
7,8,True,True,6.731685638427734,3.61331913276285
11,12,True,True,7.0479278564453125,3.653799457436799
14,15,True,True,7.0584845542907715,3.6910074648774
6,7,True,True,6.915671348571777,3.7633480614519503
5,6,True,True,7.540610313415527,4.042124435048251
10,11,True,True,7.971739292144775,4.288999634346213
13,14,True,True,8.177154541015625,4.3479316851438465
