,MA,dealer,foreign,high_low_diff,investment,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
18,0,5,1,0,1,2,False,10,False,True,4.722609996795654,2.3030839707395225
2,0,1,1,0,5,2,False,10,False,True,4.574066162109375,2.308664064375352
4,0,1,3,0,3,2,False,10,False,True,4.782666206359863,2.425022828876626
0,0,1,1,0,1,2,False,10,False,True,4.742860794067383,2.5142055366727005
10,0,3,1,0,3,2,False,10,False,True,5.180911540985107,2.5304337143186926
7,0,1,5,0,3,2,False,10,False,True,5.005110740661621,2.605335563704055
12,0,3,3,0,1,2,False,10,False,True,5.274827003479004,2.625227092013181
6,0,1,5,0,1,2,False,10,False,True,5.38331937789917,2.8130226059058545
26,0,5,5,0,5,2,False,10,False,True,5.671884536743164,3.042382031691378
9,0,3,1,0,1,2,False,10,False,True,5.70810079574585,3.0485601611603417
5,0,1,3,0,5,2,False,10,False,True,5.662872791290283,3.064913405338114
23,0,5,3,0,5,2,False,10,False,True,5.732488632202148,3.0838978548955347
1,0,1,1,0,3,2,False,10,False,True,5.7958903312683105,3.103635221369682
15,0,3,5,0,1,2,False,10,False,True,5.930360794067383,3.1220686511203786
20,0,5,1,0,5,2,False,10,False,True,5.827001571655273,3.1458094556557494
3,0,1,3,0,1,2,False,10,False,True,5.912298202514648,3.148996517174408
17,0,3,5,0,5,2,False,10,False,True,5.929937362670898,3.203954077454179
25,0,5,5,0,3,2,False,10,False,True,5.969629287719727,3.220075306547848
19,0,5,1,0,3,2,False,10,False,True,6.311375141143799,3.2530886034815105
24,0,5,5,0,1,2,False,10,False,True,6.103900909423828,3.3010014465294995
14,0,3,3,0,5,2,False,10,False,True,6.104436874389648,3.3077824555204796
22,0,5,3,0,3,2,False,10,False,True,6.176328659057617,3.3253575524229646
8,0,1,5,0,5,2,False,10,False,True,6.193126678466797,3.36910091597252
11,0,3,1,0,5,2,False,10,False,True,6.355562686920166,3.370660659197987
21,0,5,3,0,1,2,False,10,False,True,6.480381488800049,3.4044833770325695
13,0,3,3,0,3,2,False,10,False,True,6.365073204040527,3.4108973925259836
16,0,3,5,0,3,2,False,10,False,True,6.355946063995361,3.4520975184539346
