,MA,dealer,foreign,high_low_diff,investment,n_lags,ratio_over_1000_shares,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,0,5,1,0,1,2,0,0,0,0,0,False,10,False,True,4.722609996795654,2.3030839707395225
24,0,5,1,0,1,2,5,5,0,0,0,False,10,False,True,4.588244915008545,2.3779900171658643
15,0,5,1,0,1,2,0,5,5,5,5,False,10,False,True,5.348196506500244,2.8507761700534444
17,0,5,1,0,1,2,5,0,0,0,5,False,10,False,True,5.698270320892334,3.0244849857209855
18,0,5,1,0,1,2,5,0,0,5,0,False,10,False,True,5.677595138549805,3.0354911413828702
10,0,5,1,0,1,2,0,5,0,5,0,False,10,False,True,5.871707916259766,3.161895788569295
9,0,5,1,0,1,2,0,5,0,0,5,False,10,False,True,5.982978820800781,3.193958222689064
3,0,5,1,0,1,2,0,0,0,5,5,False,10,False,True,6.031753063201904,3.21962219189669
1,0,5,1,0,1,2,0,0,0,0,5,False,10,False,True,6.144559383392334,3.2777350299924435
8,0,5,1,0,1,2,0,5,0,0,0,False,10,False,True,6.094914436340332,3.2797082582348063
16,0,5,1,0,1,2,5,0,0,0,0,False,10,False,True,6.182560443878174,3.3311715827742607
2,0,5,1,0,1,2,0,0,0,5,0,False,10,False,True,6.187825679779053,3.341934026145462
20,0,5,1,0,1,2,5,0,5,0,0,False,10,False,True,6.7399444580078125,3.602011845748163
27,0,5,1,0,1,2,5,5,0,5,5,False,10,False,True,6.846426963806152,3.663396940947213
5,0,5,1,0,1,2,0,0,5,0,5,False,10,False,True,7.003901481628418,3.754004637573908
4,0,5,1,0,1,2,0,0,5,0,0,False,10,False,True,7.027551174163818,3.784255374599177
6,0,5,1,0,1,2,0,0,5,5,0,False,10,False,True,7.207142353057861,3.913401161161603
23,0,5,1,0,1,2,5,0,5,5,5,False,10,False,True,7.350864887237549,3.939774111281371
12,0,5,1,0,1,2,0,5,5,0,0,False,10,False,True,7.357742786407471,3.9873087189411294
14,0,5,1,0,1,2,0,5,5,5,0,False,10,False,True,7.526871204376221,4.033132886074324
30,0,5,1,0,1,2,5,5,5,5,0,False,10,False,True,7.710258960723877,4.187840083105391
13,0,5,1,0,1,2,0,5,5,0,5,False,10,False,True,8.00093936920166,4.286945263540335
31,0,5,1,0,1,2,5,5,5,5,5,False,10,False,True,7.944658279418945,4.412644566559213
29,0,5,1,0,1,2,5,5,5,0,5,False,10,False,True,8.485542297363281,4.642714406298254
28,0,5,1,0,1,2,5,5,5,0,0,False,10,False,True,9.18425178527832,4.933319545352364
11,0,5,1,0,1,2,0,5,0,5,5,False,10,False,True,9.652860641479492,5.312278104114728
19,0,5,1,0,1,2,5,0,0,5,5,False,10,False,True,10.117778778076172,5.51883158814486
25,0,5,1,0,1,2,5,5,0,0,5,False,10,False,True,10.697532653808594,5.804421114975446
26,0,5,1,0,1,2,5,5,0,5,0,False,10,False,True,11.664379119873047,6.37667652479805
21,0,5,1,0,1,2,5,0,5,0,5,False,10,False,True,14.721756935119629,7.9988535242393075
7,0,5,1,0,1,2,0,0,5,5,5,False,10,False,True,15.428414344787598,8.479897890139457
22,0,5,1,0,1,2,5,0,5,5,0,False,10,False,True,16.09793472290039,8.940878290510714
