,MA,dealer,foreign,high_low_diff,investment,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
4,0,1,3,0,3,7,True,0,False,False,17.901790618896484,2.50390866582136
18,0,5,1,0,1,7,True,0,False,False,18.024127960205078,2.5134894210807635
1,0,1,1,0,3,7,True,0,False,False,18.016544342041016,2.5461295111092577
2,0,1,1,0,5,7,True,0,False,False,18.023778915405273,2.547845224158413
6,0,1,5,0,1,7,True,0,False,False,18.30464744567871,2.5572641719284586
10,0,3,1,0,3,7,True,0,False,False,18.206708908081055,2.5628818796565396
3,0,1,3,0,1,7,True,0,False,False,18.183958053588867,2.569682642595592
12,0,3,3,0,1,7,True,0,False,False,18.398075103759766,2.5826535404844955
9,0,3,1,0,1,7,True,0,False,False,18.330049514770508,2.584855077880049
0,0,1,1,0,1,7,True,0,False,False,34.43559646606445,4.906070442930513
16,0,3,5,0,3,7,True,0,False,False,34.410118103027344,4.906342657709049
8,0,1,5,0,5,7,True,0,False,False,35.11541748046875,5.107116595680383
24,0,5,5,0,1,7,True,0,False,False,37.4205436706543,5.293609604295154
14,0,3,3,0,5,7,True,0,False,False,37.78733825683594,5.47002332384874
7,0,1,5,0,3,7,True,0,False,False,38.7885627746582,5.5618958147269515
22,0,5,3,0,3,7,True,0,False,False,40.52946090698242,5.72530816018315
15,0,3,5,0,1,7,True,0,False,False,40.364112854003906,5.861338864668077
20,0,5,1,0,5,7,True,0,False,False,41.146602630615234,5.907711281883605
26,0,5,5,0,5,7,True,0,False,False,44.78837585449219,6.1606089547603835
19,0,5,1,0,3,7,True,0,False,False,46.95704650878906,6.688978944265285
21,0,5,3,0,1,7,True,0,False,False,48.97062301635742,6.8003251388406545
5,0,1,3,0,5,7,True,0,False,False,49.35771942138672,6.993930873295814
13,0,3,3,0,3,7,True,0,False,False,60.39395523071289,8.507642350409785
25,0,5,5,0,3,7,True,0,False,False,67.69090270996094,9.428101777796
23,0,5,3,0,5,7,True,0,False,False,70.8249282836914,9.566587221581898
11,0,3,1,0,5,7,True,0,False,False,69.77250671386719,9.979106384476239
17,0,3,5,0,5,7,True,0,False,False,82.5293197631836,11.901448285895945
