,MA,dealer,foreign,high_low_diff,investment,n_lags,ratio_over_1000_shares,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
9,0,1,3,0,3,7,0,5,0,0,5,True,0,False,False,16.5649356842041,2.353536695509597
0,0,1,3,0,3,7,0,0,0,0,0,True,0,False,False,17.901790618896484,2.50390866582136
17,0,1,3,0,3,7,5,0,0,0,5,True,0,False,False,17.607534408569336,2.5103539025298875
18,0,1,3,0,3,7,5,0,0,5,0,True,0,False,False,17.850666046142578,2.5611929695850733
3,0,1,3,0,3,7,0,0,0,5,5,True,0,False,False,18.202882766723633,2.5678245752949533
4,0,1,3,0,3,7,0,0,5,0,0,True,0,False,False,18.704666137695312,2.623155617643127
1,0,1,3,0,3,7,0,0,0,0,5,True,0,False,False,18.658309936523438,2.6452249453911536
2,0,1,3,0,3,7,0,0,0,5,0,True,0,False,False,18.857166290283203,2.6563432531739295
20,0,1,3,0,3,7,5,0,5,0,0,True,0,False,False,18.614171981811523,2.6800999161702914
5,0,1,3,0,3,7,0,0,5,0,5,True,0,False,False,18.926877975463867,2.6890620732710966
6,0,1,3,0,3,7,0,0,5,5,0,True,0,False,False,18.900907516479492,2.6903185197813935
10,0,1,3,0,3,7,0,5,0,5,0,True,0,False,False,19.699304580688477,2.8223668220731266
12,0,1,3,0,3,7,0,5,5,0,0,True,0,False,False,20.413007736206055,2.9006276607350183
8,0,1,3,0,3,7,0,5,0,0,0,True,0,False,False,21.23872947692871,3.0177458761913756
16,0,1,3,0,3,7,5,0,0,0,0,True,0,False,False,22.077260971069336,3.15310948322773
24,0,1,3,0,3,7,5,5,0,0,0,True,0,False,False,23.95663070678711,3.460835086702274
15,0,1,3,0,3,7,0,5,5,5,5,True,0,False,False,27.579130172729492,3.921579767392798
29,0,1,3,0,3,7,5,5,5,0,5,True,0,False,False,31.000959396362305,4.4850258270175845
30,0,1,3,0,3,7,5,5,5,5,0,True,0,False,False,31.943077087402344,4.587690991167624
27,0,1,3,0,3,7,5,5,0,5,5,True,0,False,False,30.848718643188477,4.590684631195925
22,0,1,3,0,3,7,5,0,5,5,0,True,0,False,False,34.89369201660156,4.81180345617725
26,0,1,3,0,3,7,5,5,0,5,0,True,0,False,False,36.447994232177734,5.0535026243723395
21,0,1,3,0,3,7,5,0,5,0,5,True,0,False,False,36.59783172607422,5.124163408560041
7,0,1,3,0,3,7,0,0,5,5,5,True,0,False,False,36.96530532836914,5.145262444587733
25,0,1,3,0,3,7,5,5,0,0,5,True,0,False,False,38.77019500732422,5.530928840815849
14,0,1,3,0,3,7,0,5,5,5,0,True,0,False,False,39.14693069458008,5.538110548269125
11,0,1,3,0,3,7,0,5,0,5,5,True,0,False,False,39.438453674316406,5.540287356716256
28,0,1,3,0,3,7,5,5,5,0,0,True,0,False,False,40.573448181152344,5.668976004117175
19,0,1,3,0,3,7,5,0,0,5,5,True,0,False,False,45.24147415161133,6.112216562435061
13,0,1,3,0,3,7,0,5,5,0,5,True,0,False,False,44.6640739440918,6.339975192891556
31,0,1,3,0,3,7,5,5,5,5,5,True,0,False,False,52.74043273925781,7.430653272223579
23,0,1,3,0,3,7,5,0,5,5,5,True,0,False,False,102.19413757324219,14.27432327771689
