,n_lags,weekly_seasonality,yearly_seasonality,RMSE,MAPE
3,4,True,True,18.075151443481445,2.3867088132713485
0,1,True,True,17.67112159729004,2.4001294278179497
6,7,True,True,18.686296463012695,2.450279877000282
12,13,True,True,19.330055236816406,2.5284184120438757
7,8,True,True,19.919504165649414,2.5767119674525993
8,9,True,True,19.666614532470703,2.647449469705126
4,5,True,True,20.20411491394043,2.6862717381095154
2,3,True,True,20.555280685424805,2.689626054706538
1,2,True,True,21.052682876586914,2.7269497133379623
11,12,True,True,20.688276290893555,2.7522145864392615
9,10,True,True,21.962575912475586,2.922165354478569
14,15,True,True,22.672815322875977,2.92802428936339
5,6,True,True,23.04964828491211,3.0220952860914476
13,14,True,True,30.038833618164062,3.8451139110236507
10,11,True,True,32.8936767578125,4.370333512015296
