,MA,high_low_diff,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,0,0,7,True,0,False,False,17.731849670410156,2.4935665776595783
9,5,0,7,True,0,False,False,17.61306381225586,2.4952813595027923
1,0,0,7,True,5,False,False,18.2072811126709,2.5678135219224423
3,0,5,7,True,0,False,False,18.49875259399414,2.6106058665010616
8,0,10,7,True,10,False,False,19.782533645629883,2.726071283554007
25,10,10,7,True,5,False,False,20.061580657958984,2.7631942889354106
23,10,5,7,True,10,False,False,20.748336791992188,2.8845824603557815
17,5,10,7,True,10,False,False,21.67022132873535,3.0272189192781935
10,5,0,7,True,5,False,False,37.58058166503906,5.312304831190178
4,0,5,7,True,5,False,False,39.703941345214844,5.497993958447963
2,0,0,7,True,10,False,False,39.16413116455078,5.548921219762453
18,10,0,7,True,0,False,False,40.62086486816406,5.790663833872653
6,0,10,7,True,0,False,False,43.228309631347656,5.9803714462671715
12,5,5,7,True,0,False,False,43.553897857666016,6.129636892907642
19,10,0,7,True,5,False,False,49.00260925292969,6.541604719196381
20,10,0,7,True,10,False,False,44.403831481933594,6.722657333540691
7,0,10,7,True,5,False,False,48.68436813354492,6.767551105053808
13,5,5,7,True,5,False,False,49.281917572021484,6.844781364497571
14,5,5,7,True,10,False,False,46.459869384765625,6.9334091399800455
24,10,10,7,True,0,False,False,46.86814880371094,6.943491601438293
11,5,0,7,True,10,False,False,48.67776870727539,6.952231103863425
5,0,5,7,True,10,False,False,51.61043167114258,7.361861614726971
22,10,5,7,True,5,False,False,48.991851806640625,7.3800651393242
16,5,10,7,True,5,False,False,51.631378173828125,7.41998470194918
15,5,10,7,True,0,False,False,53.78642654418945,7.508840785206799
21,10,5,7,True,0,False,False,58.80412292480469,8.244435549259386
26,10,10,7,True,10,False,False,77.1993637084961,11.574023400715683
