,n_lags,weekly_seasonality,yearly_seasonality,RMSE,MAPE
3,4,True,True,6.457566261291504,2.1967777449158294
12,13,True,True,6.778621673583984,2.25663221606969
6,7,True,True,6.767122745513916,2.2610658365314253
11,12,True,True,6.896471977233887,2.2773978966936963
2,3,True,True,7.438555717468262,2.3877361712239153
8,9,True,True,7.222661972045898,2.3961230573658656
1,2,True,True,7.431255340576172,2.423296724582097
4,5,True,True,7.335178375244141,2.427426434035053
0,1,True,True,7.041114807128906,2.4820619609557166
7,8,True,True,7.425820827484131,2.55559807925209
5,6,True,True,7.772532939910889,2.582414281329319
14,15,True,True,8.197538375854492,2.6720616665872816
9,10,True,True,8.29542064666748,2.7332579871008087
10,11,True,True,9.588582038879395,3.0911064637754566
13,14,True,True,10.001630783081055,3.164394417574775
