,MA,dealer,foreign,high_low_diff,investment,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
21,0,5,3,0,1,1,False,0,False,False,6.182406902313232,2.1647600541032075
15,0,3,5,0,1,1,False,0,False,False,6.282236099243164,2.181075233951357
11,0,3,1,0,5,1,False,0,False,False,6.179618835449219,2.187966086526821
19,0,5,1,0,3,1,False,0,False,False,6.1705780029296875,2.19269006189299
1,0,1,1,0,3,1,False,0,False,False,6.154643535614014,2.224662263900698
3,0,1,3,0,1,1,False,0,False,False,6.195857524871826,2.2256292648052667
6,0,1,5,0,1,1,False,0,False,False,6.315593242645264,2.22645400954969
0,0,1,1,0,1,1,False,0,False,False,6.1870222091674805,2.2271037905815256
9,0,3,1,0,1,1,False,0,False,False,6.1989850997924805,2.26241833076834
22,0,5,3,0,3,1,False,0,False,False,6.995521068572998,2.459335832255891
8,0,1,5,0,5,1,False,0,False,False,6.69117546081543,2.480756669598182
18,0,5,1,0,1,1,False,0,False,False,6.774746417999268,2.4872784937427337
14,0,3,3,0,5,1,False,0,False,False,7.111212253570557,2.5130201134214594
24,0,5,5,0,1,1,False,0,False,False,7.245050430297852,2.5956762419043775
16,0,3,5,0,3,1,False,0,False,False,7.394641399383545,2.614291048165303
12,0,3,3,0,1,1,False,0,False,False,8.036087989807129,2.7449950737937647
4,0,1,3,0,3,1,False,0,False,False,8.730937004089355,2.8462036210009467
10,0,3,1,0,3,1,False,0,False,False,9.718235969543457,3.069277706611131
20,0,5,1,0,5,1,False,0,False,False,9.045562744140625,3.081098122397595
2,0,1,1,0,5,1,False,0,False,False,10.365663528442383,3.2313293800003673
26,0,5,5,0,5,1,False,0,False,False,10.928483009338379,3.805669083803176
7,0,1,5,0,3,1,False,0,False,False,11.71278190612793,3.834139256260212
5,0,1,3,0,5,1,False,0,False,False,13.592002868652344,4.170006891509836
13,0,3,3,0,3,1,False,0,False,False,15.432290077209473,4.808182168756816
17,0,3,5,0,5,1,False,0,False,False,19.69826889038086,6.733869309140271
25,0,5,5,0,3,1,False,0,False,False,20.47361946105957,7.152589394276316
23,0,5,3,0,5,1,False,0,False,False,23.145170211791992,7.488527652764833
