,MA,dealer,foreign,high_low_diff,investment,n_lags,ratio_over_1000_shares,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,0,1,5,0,1,1,0,0,0,0,0,False,0,False,False,0.9133493900299072,1.5807879436462144
18,0,1,5,0,1,1,5,0,0,5,0,False,0,False,False,0.905369758605957,1.5853348536387362
17,0,1,5,0,1,1,5,0,0,0,5,False,0,False,False,0.9069877862930298,1.5957948636658794
24,0,1,5,0,1,1,5,5,0,0,0,False,0,False,False,0.9119158387184143,1.595897151296337
9,0,1,5,0,1,1,0,5,0,0,5,False,0,False,False,0.9156469702720642,1.5967085117866555
3,0,1,5,0,1,1,0,0,0,5,5,False,0,False,False,0.9124575853347778,1.5986392355972447
10,0,1,5,0,1,1,0,5,0,5,0,False,0,False,False,0.9219422936439514,1.6066975911001493
5,0,1,5,0,1,1,0,0,5,0,5,False,0,False,False,0.930224597454071,1.6463301343889034
20,0,1,5,0,1,1,5,0,5,0,0,False,0,False,False,0.9303160309791565,1.648066053567998
6,0,1,5,0,1,1,0,0,5,5,0,False,0,False,False,0.9346023201942444,1.6549012471115967
12,0,1,5,0,1,1,0,5,5,0,0,False,0,False,False,0.9490543603897095,1.680331699909115
2,0,1,5,0,1,1,0,0,0,5,0,False,0,False,False,1.456373929977417,2.4646244031628526
16,0,1,5,0,1,1,5,0,0,0,0,False,0,False,False,1.511879324913025,2.5592946599855537
8,0,1,5,0,1,1,0,5,0,0,0,False,0,False,False,1.5472749471664429,2.627504474908728
1,0,1,5,0,1,1,0,0,0,0,5,False,0,False,False,1.617213249206543,2.7757040476871015
26,0,1,5,0,1,1,5,5,0,5,0,False,0,False,False,1.661536693572998,2.9880151787999685
4,0,1,5,0,1,1,0,0,5,0,0,False,0,False,False,2.043346881866455,3.6350073372055043
25,0,1,5,0,1,1,5,5,0,0,5,False,0,False,False,2.033987045288086,3.685011227809041
11,0,1,5,0,1,1,0,5,0,5,5,False,0,False,False,2.213526964187622,4.087687049630799
19,0,1,5,0,1,1,5,0,0,5,5,False,0,False,False,2.639211893081665,4.639783830853919
28,0,1,5,0,1,1,5,5,5,0,0,False,0,False,False,2.844332695007324,5.479479146289281
27,0,1,5,0,1,1,5,5,0,5,5,False,0,False,False,3.263071298599243,5.651485889558544
14,0,1,5,0,1,1,0,5,5,5,0,False,0,False,False,3.3928544521331787,6.44845192810101
13,0,1,5,0,1,1,0,5,5,0,5,False,0,False,False,3.4385316371917725,6.617989530559335
22,0,1,5,0,1,1,5,0,5,5,0,False,0,False,False,3.7697198390960693,7.3288932749154325
21,0,1,5,0,1,1,5,0,5,0,5,False,0,False,False,4.084815979003906,7.8498471771326646
7,0,1,5,0,1,1,0,0,5,5,5,False,0,False,False,4.246381759643555,8.05680410979568
15,0,1,5,0,1,1,0,5,5,5,5,False,0,False,False,4.89642858505249,9.411087642042878
23,0,1,5,0,1,1,5,0,5,5,5,False,0,False,False,5.031691074371338,9.430987128534387
30,0,1,5,0,1,1,5,5,5,5,0,False,0,False,False,5.059284687042236,9.67670424925838
29,0,1,5,0,1,1,5,5,5,0,5,False,0,False,False,5.239043235778809,9.965536562151044
31,0,1,5,0,1,1,5,5,5,5,5,False,0,False,False,11.237079620361328,21.382247683062513
