,MA,high_low_diff,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,0,0,1,False,0,False,False,0.8968181610107422,1.5940104876670753
1,0,0,1,False,5,False,False,0.9043775200843811,1.5952191531428004
2,0,0,1,False,10,False,False,0.9499663710594177,1.6836271470327808
26,10,10,1,False,10,False,False,1.1420692205429077,1.9461500007056443
4,0,5,1,False,5,False,False,1.3529033660888672,2.4784547850817527
3,0,5,1,False,0,False,False,1.378401756286621,2.557503630737255
6,0,10,1,False,0,False,False,1.762505292892456,3.483148521110629
18,10,0,1,False,0,False,False,2.148704767227173,3.5373582504188317
10,5,0,1,False,5,False,False,2.137371301651001,3.599919538990222
12,5,5,1,False,0,False,False,2.021636962890625,3.624383691465006
9,5,0,1,False,0,False,False,2.2466111183166504,3.6908848957665716
23,10,5,1,False,10,False,False,2.4999687671661377,4.192422974052463
25,10,10,1,False,5,False,False,2.581350326538086,4.3304544099005575
14,5,5,1,False,10,False,False,2.601855993270874,4.550475055887755
16,5,10,1,False,5,False,False,2.671006917953491,4.577075146398509
20,10,0,1,False,10,False,False,2.7704808712005615,4.587884382267545
24,10,10,1,False,0,False,False,2.737349033355713,4.655951873997083
22,10,5,1,False,5,False,False,2.9389376640319824,4.660456042151725
17,5,10,1,False,10,False,False,2.6179463863372803,4.710781911010009
13,5,5,1,False,5,False,False,2.8369598388671875,4.7143048994926735
15,5,10,1,False,0,False,False,2.800999879837036,4.722388892356431
21,10,5,1,False,0,False,False,2.6708383560180664,4.770953623514841
11,5,0,1,False,10,False,False,2.8946986198425293,4.8528448959062755
19,10,0,1,False,5,False,False,2.884518623352051,4.874424460431802
7,0,10,1,False,5,False,False,2.8394625186920166,5.770017343174915
5,0,5,1,False,10,False,False,3.1478960514068604,6.432216979260735
8,0,10,1,False,10,False,False,3.1705148220062256,6.550303410210356
