,n_lags,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,1,True,True,0.9536426067352295,1.7160616963199236
3,4,True,True,0.9985786080360413,1.824535579977304
7,8,True,True,1.0241457223892212,1.8446015396209117
12,13,True,True,1.060154676437378,1.888553014254979
11,12,True,True,1.0634807348251343,1.9058140685675475
6,7,True,True,1.076845407485962,1.9231106857636164
2,3,True,True,1.0697500705718994,1.9266057978006585
4,5,True,True,1.0630148649215698,1.9491313938877635
8,9,True,True,1.1103259325027466,1.979159616515732
14,15,True,True,1.186679720878601,2.0453439545930254
1,2,True,True,1.192877173423767,2.051553836181623
5,6,True,True,1.1766204833984375,2.0820615507206766
13,14,True,True,1.3506698608398438,2.3311749466172214
10,11,True,True,1.3742942810058594,2.4818279127610583
9,10,True,True,1.4495652914047241,2.533112063256386
