,MA,dealer,foreign,high_low_diff,investment,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
7,5,1,5,0,3,9,False,0,True,False,1.5204262733459473,1.0549943591974242
6,5,1,5,0,1,9,False,0,True,False,1.5490449666976929,1.0585958246833924
4,5,1,3,0,3,9,False,0,True,False,1.5490903854370117,1.0625132829763895
24,5,5,5,0,1,9,False,0,True,False,1.5107773542404175,1.0658464101679463
2,5,1,1,0,5,9,False,0,True,False,1.5389659404754639,1.0689010326006878
15,5,3,5,0,1,9,False,0,True,False,1.5431410074234009,1.0719236745937493
8,5,1,5,0,5,9,False,0,True,False,1.5086995363235474,1.0731585182835397
12,5,3,3,0,1,9,False,0,True,False,1.5883933305740356,1.0746644506352676
5,5,1,3,0,5,9,False,0,True,False,1.5471103191375732,1.0792933104548754
18,5,5,1,0,1,9,False,0,True,False,1.5853325128555298,1.07937163876453
10,5,3,1,0,3,9,False,0,True,False,1.5801427364349365,1.0810436548344273
21,5,5,3,0,1,9,False,0,True,False,1.5629990100860596,1.0855604540558625
16,5,3,5,0,3,9,False,0,True,False,1.538916826248169,1.085986976623648
3,5,1,3,0,1,9,False,0,True,False,1.5378409624099731,1.0862156332135098
26,5,5,5,0,5,9,False,0,True,False,1.5654850006103516,1.094872193385823
22,5,5,3,0,3,9,False,0,True,False,1.5581001043319702,1.0976287859554092
19,5,5,1,0,3,9,False,0,True,False,1.5673292875289917,1.1036374048062731
13,5,3,3,0,3,9,False,0,True,False,1.5815796852111816,1.1085245363789125
9,5,3,1,0,1,9,False,0,True,False,1.5773183107376099,1.1094902299351923
11,5,3,1,0,5,9,False,0,True,False,1.571689248085022,1.1097731760124945
20,5,5,1,0,5,9,False,0,True,False,1.5600597858428955,1.11021842492638
0,5,1,1,0,1,9,False,0,True,False,1.5711349248886108,1.1131975609494882
14,5,3,3,0,5,9,False,0,True,False,1.5762760639190674,1.1170788291869855
1,5,1,1,0,3,9,False,0,True,False,1.5660569667816162,1.1179234065983696
25,5,5,5,0,3,9,False,0,True,False,1.6342593431472778,1.139975024250744
23,5,5,3,0,5,9,False,0,True,False,1.6530524492263794,1.1570353147106331
17,5,3,5,0,5,9,False,0,True,False,1.6924090385437012,1.2033975248302016
