,MA,high_low_diff,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,0,0,1,False,0,False,False,2.0309972763061523,1.3773789111402701
9,5,0,1,False,0,False,False,2.1945786476135254,1.457699609451473
26,10,10,1,False,10,False,False,2.490466356277466,1.6355652736553685
1,0,0,1,False,5,False,False,3.687286138534546,2.5980636454043857
12,5,5,1,False,0,False,False,5.247690677642822,3.2544387836393676
18,10,0,1,False,0,False,False,5.217827796936035,3.392490666060209
2,0,0,1,False,10,False,False,5.092211723327637,3.5949484361547808
10,5,0,1,False,5,False,False,5.921070098876953,3.6931852526632327
4,0,5,1,False,5,False,False,5.64054012298584,3.945324049113806
3,0,5,1,False,0,False,False,5.683106422424316,3.9610112116121385
6,0,10,1,False,0,False,False,5.869114398956299,4.063777567859084
13,5,5,1,False,5,False,False,6.742778301239014,4.172166840693481
14,5,5,1,False,10,False,False,6.8793511390686035,4.203114868301356
23,10,5,1,False,10,False,False,6.894771575927734,4.229682477121292
17,5,10,1,False,10,False,False,6.829367160797119,4.249377027141356
16,5,10,1,False,5,False,False,7.0314860343933105,4.33278863568224
21,10,5,1,False,0,False,False,6.923823356628418,4.3411488362825725
15,5,10,1,False,0,False,False,7.033057689666748,4.364891286872691
20,10,0,1,False,10,False,False,7.376824855804443,4.438314774915404
24,10,10,1,False,0,False,False,7.21068811416626,4.462564035754597
11,5,0,1,False,10,False,False,7.342484951019287,4.492097855372765
19,10,0,1,False,5,False,False,7.511730194091797,4.549497513954844
25,10,10,1,False,5,False,False,7.4300737380981445,4.611692080536326
22,10,5,1,False,5,False,False,7.907214641571045,4.739353670131105
5,0,5,1,False,10,False,False,7.472714424133301,5.169031049390595
7,0,10,1,False,5,False,False,7.831813812255859,5.644855136653365
8,0,10,1,False,10,False,False,7.921699047088623,5.8409560124931055
