,n_lags,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,1,True,True,2.0403237342834473,1.4648138540740487
11,12,True,True,2.104341506958008,1.4652803406613022
3,4,True,True,2.0499978065490723,1.473882319215595
2,3,True,True,2.1932921409606934,1.5010449841523275
4,5,True,True,2.1657376289367676,1.5277317578080432
12,13,True,True,2.227395534515381,1.5349224212807016
8,9,True,True,2.264500856399536,1.5721074765108523
7,8,True,True,2.1501002311706543,1.608212678296629
6,7,True,True,2.253854513168335,1.6245916624185908
14,15,True,True,2.409726858139038,1.6646742738097833
5,6,True,True,2.4233615398406982,1.6862537149690886
13,14,True,True,2.635660171508789,1.7380215857760895
1,2,True,True,2.552760601043701,1.7495980041434152
10,11,True,True,2.7097020149230957,1.8764303717416349
9,10,True,True,2.830618143081665,1.9924601147218484
