,n_lags,use_holidays,weekly_seasonality,yearly_seasonality,RMSE,MAPE
7,1,False,False,False,36.53654098510742,2.3601878080022063
5,1,False,True,False,37.19521713256836,2.407102760591536
3,1,True,False,False,37.18086624145508,2.4957178558331834
6,1,False,False,True,37.43252944946289,2.50302601460144
4,1,False,True,True,37.475563049316406,2.5123114353904517
19,12,True,False,False,38.375770568847656,2.5136257708704095
1,1,True,True,False,37.54914093017578,2.52194178222173
9,4,True,True,False,37.190975189208984,2.556065301522192
0,1,True,True,True,38.109256744384766,2.583583470286733
2,1,True,False,True,38.58505630493164,2.613770301888746
12,4,False,True,True,39.10000991821289,2.7018372433038804
20,12,False,True,True,40.01881408691406,2.707528756359515
21,12,False,True,False,40.218257904052734,2.7315768116938632
28,13,False,True,True,40.4689826965332,2.7512875986014826
30,13,False,False,True,41.7371711730957,2.777368102924383
22,12,False,False,True,41.68414306640625,2.873523846557235
26,13,True,False,True,41.926513671875,2.875500348870521
18,12,True,False,True,42.475833892822266,2.8771524124031753
16,12,True,True,True,43.70023727416992,2.9294079443284162
15,4,False,False,False,43.02861022949219,2.974913474047455
10,4,True,False,True,44.84379577636719,3.09608258147888
8,4,True,True,True,45.201602935791016,3.109144541674192
11,4,True,False,False,45.05429458618164,3.119906923343046
17,12,True,True,False,47.67096710205078,3.12423126028907
13,4,False,True,False,47.242122650146484,3.172267958380287
29,13,False,True,False,51.86349105834961,3.337946591537657
23,12,False,False,False,49.94795227050781,3.345209441608908
31,13,False,False,False,51.93919372558594,3.532292514515885
24,13,True,True,True,52.851158142089844,3.550435223605329
14,4,False,False,True,56.49485397338867,3.7550138013872165
25,13,True,True,False,59.31940460205078,3.8424146512362674
27,13,True,False,False,80.9522705078125,5.40780213279409
