,MA,high_low_diff,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
3,0,5,1,False,0,False,False,36.3767204284668,2.3220710872449253
1,0,0,1,False,5,False,False,36.60976028442383,2.348384728199936
0,0,0,1,False,0,False,False,36.53654098510742,2.3601878080022063
2,0,0,1,False,10,False,False,36.93843460083008,2.3738443308659094
26,10,10,1,False,10,False,False,38.6813850402832,2.470228077001457
6,0,10,1,False,0,False,False,46.673526763916016,3.0529620059716396
4,0,5,1,False,5,False,False,48.41147232055664,3.19592769633438
10,5,0,1,False,5,False,False,58.01289749145508,3.626373722817111
12,5,5,1,False,0,False,False,60.155906677246094,3.8441801782782865
18,10,0,1,False,0,False,False,62.40023422241211,3.8926158311301613
9,5,0,1,False,0,False,False,66.2220230102539,4.1511203589695
25,10,10,1,False,5,False,False,71.97753143310547,4.553524967585902
23,10,5,1,False,10,False,False,71.962158203125,4.579761469866452
20,10,0,1,False,10,False,False,74.39714813232422,4.62468028307044
13,5,5,1,False,5,False,False,77.73223114013672,4.827307304983603
22,10,5,1,False,5,False,False,76.82994079589844,4.865348773230355
11,5,0,1,False,10,False,False,80.95288848876953,4.948737978172573
17,5,10,1,False,10,False,False,78.89469909667969,4.950580234167524
14,5,5,1,False,10,False,False,80.12987518310547,4.977214730823764
19,10,0,1,False,5,False,False,78.92529296875,4.983708286947713
24,10,10,1,False,0,False,False,79.93550872802734,5.1198211348651235
21,10,5,1,False,0,False,False,80.7798080444336,5.189117341773518
16,5,10,1,False,5,False,False,85.28978729248047,5.441005130136232
7,0,10,1,False,5,False,False,82.41068267822266,5.455809924967018
15,5,10,1,False,0,False,False,85.80116271972656,5.484501375471793
5,0,5,1,False,10,False,False,83.69928741455078,5.605574837029741
8,0,10,1,False,10,False,False,96.91474151611328,6.526314484188163
