,n_lags,weekly_seasonality,yearly_seasonality,RMSE,MAPE
11,12,True,True,2.146345376968384,2.0927656381702024
12,13,True,True,2.213641881942749,2.0960069845824587
0,1,True,True,2.111403465270996,2.097349412432727
5,6,True,True,2.26483416557312,2.161209615484572
7,8,True,True,2.2007408142089844,2.1888095524230806
8,9,True,True,2.225421190261841,2.193813412380042
2,3,True,True,2.194199800491333,2.1981326211119363
3,4,True,True,2.171818971633911,2.2037067192640785
6,7,True,True,2.254493474960327,2.216698019391134
4,5,True,True,2.2694859504699707,2.2258558107324347
14,15,True,True,2.355327606201172,2.3550333320329777
1,2,True,True,2.4391050338745117,2.420044852351505
10,11,True,True,2.664350986480713,2.6064940062544695
13,14,True,True,2.653212785720825,2.6345023424748484
9,10,True,True,2.9572176933288574,2.952481537546349
