,n_lags,use_holidays,weekly_seasonality,yearly_seasonality,RMSE,MAPE
5,12,False,True,False,1.951373815536499,1.909971925859399
19,1,True,False,False,1.9091249704360962,1.910309822520885
17,1,True,True,False,1.9292852878570557,1.9245315808676549
23,1,False,False,False,1.9390798807144165,1.9325978464859923
21,1,False,True,False,1.97323477268219,1.9677771911680044
30,6,False,False,True,2.03009033203125,1.984452475414793
22,1,False,False,True,2.051455020904541,2.031855228831941
2,12,True,False,True,2.255420207977295,2.0876129494580944
4,12,False,True,True,2.146345376968384,2.0927656381702024
12,13,False,True,True,2.213641881942749,2.0960069845824587
20,1,False,True,True,2.111403465270996,2.097349412432727
16,1,True,True,True,2.119860887527466,2.1090032089915343
18,1,True,False,True,2.124824047088623,2.1230482629093905
10,13,True,False,True,2.255593776702881,2.1481303653444663
1,12,True,True,False,2.3248987197875977,2.1561801426494833
28,6,False,True,True,2.26483416557312,2.161209615484572
6,12,False,False,True,2.230546474456787,2.162883089735915
27,6,True,False,False,2.379162073135376,2.191032808920592
14,13,False,False,True,2.2666807174682617,2.195916363512264
31,6,False,False,False,2.301703691482544,2.2349401490850385
26,6,True,False,True,2.3318445682525635,2.2579135748490446
7,12,False,False,False,2.3206634521484375,2.291306003514625
13,13,False,True,False,2.4150304794311523,2.311083726219106
29,6,False,True,False,2.326808452606201,2.371593757210065
0,12,True,True,True,2.464860439300537,2.4019862837164174
15,13,False,False,False,2.510847568511963,2.404146146202109
24,6,True,True,True,2.5069451332092285,2.4117363214119067
25,6,True,True,False,2.5120863914489746,2.5605203203278264
8,13,True,True,True,2.813681125640869,2.7023212329325244
9,13,True,True,False,2.9015400409698486,2.7927581912087005
3,12,True,False,False,3.000595808029175,3.045929850296007
11,13,True,False,False,3.0179572105407715,3.0573187359260907
