,MA,high_low_diff,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
4,0,5,1,False,5,False,False,1.3353618383407593,1.3250016540112237
3,0,5,1,False,0,False,False,1.3742153644561768,1.3415425563120562
0,0,0,1,False,0,False,False,1.3501969575881958,1.3710265553755132
2,0,0,1,False,10,False,False,1.3722593784332275,1.3881065735425504
1,0,0,1,False,5,False,False,1.374273657798767,1.4025340907424781
6,0,10,1,False,0,False,False,1.4638227224349976,1.439407721616772
5,0,5,1,False,10,False,False,1.5489537715911865,1.5514231823629032
26,10,10,1,False,10,False,False,1.512801170349121,1.5806611696245716
8,0,10,1,False,10,False,False,2.081674337387085,2.042174906657233
7,0,10,1,False,5,False,False,2.0941641330718994,2.1481688412817244
18,10,0,1,False,0,False,False,2.6655805110931396,2.597077206082637
23,10,5,1,False,10,False,False,3.2029201984405518,3.2063775980582223
21,10,5,1,False,0,False,False,3.370290756225586,3.341668088818072
24,10,10,1,False,0,False,False,3.3358054161071777,3.393118977099839
9,5,0,1,False,0,False,False,3.4830782413482666,3.6900506667802464
25,10,10,1,False,5,False,False,3.7620389461517334,3.7843911864894455
12,5,5,1,False,0,False,False,3.520472526550293,3.866420362505809
19,10,0,1,False,5,False,False,4.438244819641113,4.757811523898734
10,5,0,1,False,5,False,False,4.2484130859375,4.842458677927709
15,5,10,1,False,0,False,False,4.752967834472656,5.307028808477497
20,10,0,1,False,10,False,False,5.0413947105407715,5.53220104722302
22,10,5,1,False,5,False,False,5.355417251586914,5.868311854589175
17,5,10,1,False,10,False,False,5.6865949630737305,6.499652592359953
11,5,0,1,False,10,False,False,5.800203323364258,6.6856778236975085
13,5,5,1,False,5,False,False,6.007030963897705,6.950396174430643
14,5,5,1,False,10,False,False,6.714733123779297,7.756862415446866
16,5,10,1,False,5,False,False,7.262004375457764,8.467967239816154
