,MA,high_low_diff,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,0,0,1,False,0,False,False,5.875453948974609,1.7203276223979505
1,0,0,1,False,5,False,False,8.776763916015625,2.755948147600631
3,0,5,1,False,0,False,False,8.95161247253418,2.771830989089765
2,0,0,1,False,10,False,False,9.598943710327148,3.087988046573154
6,0,10,1,False,0,False,False,11.423152923583984,3.504414228550291
4,0,5,1,False,5,False,False,11.82258129119873,3.778117379374959
18,10,0,1,False,0,False,False,13.847306251525879,4.010466077500293
9,5,0,1,False,0,False,False,15.903020858764648,4.600941902468045
12,5,5,1,False,0,False,False,15.732868194580078,5.123435416227498
10,5,0,1,False,5,False,False,15.864087104797363,5.2154573263340325
7,0,10,1,False,5,False,False,16.277042388916016,5.239282473963223
5,0,5,1,False,10,False,False,16.144813537597656,5.295439112137313
13,5,5,1,False,5,False,False,19.50685691833496,5.984840836670887
21,10,5,1,False,0,False,False,19.418798446655273,6.091237201954168
24,10,10,1,False,0,False,False,19.47013282775879,6.112827284242083
8,0,10,1,False,10,False,False,19.349620819091797,6.293569489546805
15,5,10,1,False,0,False,False,20.448429107666016,6.418322503337398
22,10,5,1,False,5,False,False,20.62473487854004,6.423572642470246
19,10,0,1,False,5,False,False,20.33698272705078,6.467977512173005
11,5,0,1,False,10,False,False,20.620710372924805,6.515462921959067
20,10,0,1,False,10,False,False,20.87697410583496,6.68411197747161
16,5,10,1,False,5,False,False,20.45462417602539,6.716274027386741
25,10,10,1,False,5,False,False,20.273378372192383,6.765290107178728
14,5,5,1,False,10,False,False,20.91344451904297,6.949531308316473
23,10,5,1,False,10,False,False,20.7125244140625,7.051103584552607
17,5,10,1,False,10,False,False,21.607919692993164,7.306498412114277
26,10,10,1,False,10,False,False,36.57375717163086,10.691244769544483
