,n_lags,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,1,True,True,6.0305399894714355,1.8319966950429085
12,13,True,True,6.63546895980835,1.9697720184069327
4,5,True,True,6.797386169433594,2.0552782337776514
7,8,True,True,6.815188407897949,2.0590442986642015
6,7,True,True,6.780858993530273,2.0599536060352417
3,4,True,True,6.588529109954834,2.0680783986627533
8,9,True,True,7.082626819610596,2.1131839092622675
2,3,True,True,7.093013286590576,2.126211233421791
11,12,True,True,7.3371148109436035,2.1956574332470793
14,15,True,True,7.800835609436035,2.3174009578155035
5,6,True,True,7.734849452972412,2.3404819754494492
1,2,True,True,7.88047981262207,2.368627600803288
9,10,True,True,8.78880786895752,2.557154039019862
13,14,True,True,9.240662574768066,2.73998955904714
10,11,True,True,9.3304443359375,2.8166321131126684
