,n_lags,use_holidays,weekly_seasonality,yearly_seasonality,RMSE,MAPE
7,1,False,False,False,5.875453948974609,1.7203276223979505
5,1,False,True,False,5.956672668457031,1.7375704250449537
1,1,True,True,False,5.986677646636963,1.7814548181740602
3,1,True,False,False,5.98226261138916,1.7949527654494712
6,1,False,False,True,6.023058891296387,1.8223263516146202
4,1,False,True,True,6.0305399894714355,1.8319966950429085
21,5,False,True,False,6.222427845001221,1.8485114589350469
0,1,True,True,True,6.140129566192627,1.8748156241813407
18,5,True,False,True,6.240453720092773,1.8868775794383892
2,1,True,False,True,6.300042152404785,1.9332775733904264
19,5,True,False,False,6.518819332122803,1.9479571951024288
12,13,False,True,True,6.63546895980835,1.9697720184069327
17,5,True,True,False,7.053910732269287,2.044198390010857
20,5,False,True,True,6.797386169433594,2.0552782337776514
28,8,False,True,True,6.815188407897949,2.0590442986642015
29,8,False,True,False,6.922853946685791,2.0800502232736804
27,8,True,False,False,7.12722110748291,2.1251852094543366
25,8,True,True,False,7.1551713943481445,2.1659200568500276
14,13,False,False,True,7.402095317840576,2.2146893493589026
31,8,False,False,False,7.620235443115234,2.2976020937930564
24,8,True,True,True,7.835760116577148,2.361058345120422
26,8,True,False,True,8.06130599975586,2.380816159154216
10,13,True,False,True,8.191106796264648,2.4335840758129255
8,13,True,True,True,8.7179594039917,2.5237711331711243
13,13,False,True,False,8.699448585510254,2.5314492204246983
15,13,False,False,False,8.892780303955078,2.5514622361684136
30,8,False,False,True,9.30357551574707,2.7236507865731094
22,5,False,False,True,9.089533805847168,2.7528059439677524
16,5,True,True,True,9.492568969726562,2.8967375206332946
9,13,True,True,False,10.174918174743652,2.899293169818253
23,5,False,False,False,10.247632026672363,2.9421411283398164
11,13,True,False,False,17.92487335205078,5.1851014331600584
