,MA,dealer,foreign,high_low_diff,investment,n_lags,ratio_over_1000_shares,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,0,5,5,0,1,1,0,0,0,0,0,False,0,False,False,4.89569091796875,1.4126604376124692
6,0,5,5,0,1,1,0,0,5,5,0,False,0,False,False,14.807867050170898,3.9372126282540574
5,0,5,5,0,1,1,0,0,5,0,5,False,0,False,False,13.980732917785645,4.049341690160516
7,0,5,5,0,1,1,0,0,5,5,5,False,0,False,False,18.282155990600586,5.293260798697701
3,0,5,5,0,1,1,0,0,0,5,5,False,0,False,False,32.796207427978516,10.68148598862501
18,0,5,5,0,1,1,5,0,0,5,0,False,0,False,False,35.31803512573242,11.472874630516218
14,0,5,5,0,1,1,0,5,5,5,0,False,0,False,False,36.162105560302734,11.644121300234174
2,0,5,5,0,1,1,0,0,0,5,0,False,0,False,False,38.52850341796875,11.883466961885233
22,0,5,5,0,1,1,5,0,5,5,0,False,0,False,False,39.424041748046875,12.636275339405747
11,0,5,5,0,1,1,0,5,0,5,5,False,0,False,False,41.29526901245117,13.027756007633895
26,0,5,5,0,1,1,5,5,0,5,0,False,0,False,False,43.5311279296875,13.915206485250495
4,0,5,5,0,1,1,0,0,5,0,0,False,0,False,False,47.335723876953125,15.134039988001469
1,0,5,5,0,1,1,0,0,0,0,5,False,0,False,False,46.94871520996094,15.254758067185687
24,0,5,5,0,1,1,5,5,0,0,0,False,0,False,False,48.668617248535156,15.489539326951284
15,0,5,5,0,1,1,0,5,5,5,5,False,0,False,False,49.2983283996582,15.70806655358807
13,0,5,5,0,1,1,0,5,5,0,5,False,0,False,False,50.23832702636719,16.029280560053337
19,0,5,5,0,1,1,5,0,0,5,5,False,0,False,False,49.39506530761719,16.034836457390455
10,0,5,5,0,1,1,0,5,0,5,0,False,0,False,False,50.25946807861328,16.188028121500903
20,0,5,5,0,1,1,5,0,5,0,0,False,0,False,False,51.384891510009766,16.438989435342364
12,0,5,5,0,1,1,0,5,5,0,0,False,0,False,False,54.11375427246094,17.225131719380446
17,0,5,5,0,1,1,5,0,0,0,5,False,0,False,False,56.86930847167969,18.32269684351553
23,0,5,5,0,1,1,5,0,5,5,5,False,0,False,False,57.94675827026367,18.33266498566989
21,0,5,5,0,1,1,5,0,5,0,5,False,0,False,False,57.55128860473633,18.596060369337675
31,0,5,5,0,1,1,5,5,5,5,5,False,0,False,False,58.52946472167969,18.733420804358524
28,0,5,5,0,1,1,5,5,5,0,0,False,0,False,False,60.06580352783203,19.010377599849043
9,0,5,5,0,1,1,0,5,0,0,5,False,0,False,False,62.57655334472656,20.09031437414646
25,0,5,5,0,1,1,5,5,0,0,5,False,0,False,False,67.86432647705078,22.004832439457772
27,0,5,5,0,1,1,5,5,0,5,5,False,0,False,False,73.19703674316406,23.511777200922932
30,0,5,5,0,1,1,5,5,5,5,0,False,0,False,False,72.48926544189453,23.815812253518683
16,0,5,5,0,1,1,5,0,0,0,0,False,0,False,False,80.04766845703125,25.88785885637722
29,0,5,5,0,1,1,5,5,5,0,5,False,0,False,False,87.82416534423828,28.116409427114547
8,0,5,5,0,1,1,0,5,0,0,0,False,0,False,False,96.33049011230469,31.062925794448514
