,MA,high_low_diff,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,0,0,1,False,0,False,False,65.28270721435547,2.3056147627676506
26,10,10,1,False,10,False,False,70.44087982177734,2.437638636038126
2,0,0,1,False,10,False,False,71.33084106445312,2.5993149261238777
1,0,0,1,False,5,False,False,95.82747650146484,3.2392901893086705
6,0,10,1,False,0,False,False,110.701171875,3.7784027270322103
3,0,5,1,False,0,False,False,118.56315612792969,3.9580243898952405
4,0,5,1,False,5,False,False,131.3739013671875,4.3215858518483685
5,0,5,1,False,10,False,False,211.95040893554688,6.888854705010837
7,0,10,1,False,5,False,False,224.0428009033203,7.30477825413533
12,5,5,1,False,0,False,False,237.35533142089844,8.550794201414757
18,10,0,1,False,0,False,False,252.43356323242188,8.855720131366809
10,5,0,1,False,5,False,False,245.39601135253906,8.915912129357766
9,5,0,1,False,0,False,False,251.76499938964844,8.984965481089297
25,10,10,1,False,5,False,False,268.52008056640625,9.308926916317404
8,0,10,1,False,10,False,False,287.1920471191406,9.493416316467904
23,10,5,1,False,10,False,False,289.1219177246094,10.094154225053934
21,10,5,1,False,0,False,False,291.78271484375,10.108732426271622
19,10,0,1,False,5,False,False,293.1595153808594,10.222053186657794
16,5,10,1,False,5,False,False,299.9056091308594,10.485288850012765
13,5,5,1,False,5,False,False,296.193359375,10.735290848396506
15,5,10,1,False,0,False,False,309.8767395019531,10.793115332476969
24,10,10,1,False,0,False,False,317.8592529296875,11.047661301485016
22,10,5,1,False,5,False,False,324.3076477050781,11.357125384472138
14,5,5,1,False,10,False,False,324.190673828125,11.497226364865204
17,5,10,1,False,10,False,False,324.48101806640625,11.577089073310503
20,10,0,1,False,10,False,False,331.5228576660156,11.730475748337387
11,5,0,1,False,10,False,False,328.9561462402344,11.755041790479575
