,n_lags,use_holidays,weekly_seasonality,yearly_seasonality,RMSE,MAPE
7,1,False,False,False,65.28270721435547,2.3056147627676506
25,4,True,True,False,64.24962615966797,2.3763611066266517
3,1,True,False,False,63.74544143676758,2.3808487018767566
1,1,True,True,False,63.696067810058594,2.3910494567861047
2,1,True,False,True,65.45310974121094,2.4156162578627094
4,1,False,True,True,67.20218658447266,2.4266907402670115
0,1,True,True,True,65.92160034179688,2.4308112442213736
26,4,True,False,True,76.72134399414062,2.5978658832628456
12,13,False,True,True,71.98561096191406,2.6299332820010903
20,8,False,True,True,69.23587799072266,2.635042941125014
28,4,False,True,True,69.84938049316406,2.6352740544736553
18,8,True,False,True,74.40023803710938,2.7297306283720983
10,13,True,False,True,74.10264587402344,2.7464451636375045
6,1,False,False,True,82.92288970947266,2.753437655245676
19,8,True,False,False,76.47119140625,2.759384726787096
24,4,True,True,True,77.80136108398438,2.7775817745801694
14,13,False,False,True,73.54835510253906,2.8104882978502266
5,1,False,True,False,83.92176818847656,2.913141621881189
23,8,False,False,False,83.42188262939453,2.943298772170818
21,8,False,True,False,84.39643859863281,2.970002373027191
16,8,True,True,True,82.27719116210938,3.120798678706548
17,8,True,True,False,87.10435485839844,3.160615076292477
13,13,False,True,False,91.7730941772461,3.2678408418467018
31,4,False,False,False,90.48673248291016,3.3424685459712418
15,13,False,False,False,94.67076110839844,3.4908554636017297
22,8,False,False,True,96.41659545898438,3.4931984625055064
29,4,False,True,False,96.95433044433594,3.515666869638079
8,13,True,True,True,95.93810272216797,3.5459096453058137
9,13,True,True,False,103.2128677368164,3.623166159241494
27,4,True,False,False,105.00523376464844,3.8707900654826553
30,4,False,False,True,107.0411148071289,3.885241691849738
11,13,True,False,False,167.47804260253906,5.881353072498414
