,n_lags,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,1,True,True,63.269065856933594,2.426091565201624
6,7,True,True,68.54517364501953,2.5708417674585915
7,8,True,True,70.1432113647461,2.6571755437817206
3,4,True,True,68.02413177490234,2.6883995707493487
12,13,True,True,69.90283203125,2.7154299578928955
8,9,True,True,72.85729217529297,2.7269061875152647
2,3,True,True,70.0844955444336,2.7501353561089683
11,12,True,True,71.16691589355469,2.7862200102967756
4,5,True,True,71.04383087158203,2.803238357434446
1,2,True,True,78.20227813720703,2.8165464647538565
14,15,True,True,74.89950561523438,2.8976472591640468
5,6,True,True,78.71847534179688,2.9385320788755815
9,10,True,True,82.98592376708984,3.116473685536887
10,11,True,True,84.40243530273438,3.270480604156812
13,14,True,True,87.8643798828125,3.4844370475282287
