,MA,dealer,foreign,high_low_diff,investment,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
6,0,1,5,0,1,1,False,0,False,False,64.62103271484375,2.3373325010811428
0,0,1,1,0,1,1,False,0,False,False,66.32525634765625,2.345302872505701
12,0,3,3,0,1,1,False,0,False,False,64.43347930908203,2.354721241359463
10,0,3,1,0,3,1,False,0,False,False,68.66436767578125,2.374308288079071
20,0,5,1,0,5,1,False,0,False,False,66.1080322265625,2.469320881679768
4,0,1,3,0,3,1,False,0,False,False,67.25151824951172,2.471337556578348
18,0,5,1,0,1,1,False,0,False,False,71.12311553955078,2.504490730808036
24,0,5,5,0,1,1,False,0,False,False,72.71700286865234,2.5898870755783223
22,0,5,3,0,3,1,False,0,False,False,73.93832397460938,2.6394945149937623
16,0,3,5,0,3,1,False,0,False,False,76.19917297363281,2.661424023752631
8,0,1,5,0,5,1,False,0,False,False,75.08956146240234,2.668785045994148
14,0,3,3,0,5,1,False,0,False,False,75.9939193725586,2.671730700150837
2,0,1,1,0,5,1,False,0,False,False,74.09436798095703,2.673520277285634
9,0,3,1,0,1,1,False,0,False,False,181.73854064941406,6.111625407130415
1,0,1,1,0,3,1,False,0,False,False,186.95660400390625,6.520934429354838
26,0,5,5,0,5,1,False,0,False,False,193.6728057861328,6.7682406379199405
3,0,1,3,0,1,1,False,0,False,False,194.56907653808594,6.822762233016909
7,0,1,5,0,3,1,False,0,False,False,202.125,7.3120302103313595
15,0,3,5,0,1,1,False,0,False,False,218.35809326171875,7.782739304783055
5,0,1,3,0,5,1,False,0,False,False,220.23031616210938,8.027589088818594
11,0,3,1,0,5,1,False,0,False,False,235.5838623046875,8.183279370581836
21,0,5,3,0,1,1,False,0,False,False,228.7011260986328,8.228026438359342
13,0,3,3,0,3,1,False,0,False,False,254.76771545410156,8.970374737863878
19,0,5,1,0,3,1,False,0,False,False,283.7485656738281,10.109933524743415
17,0,3,5,0,5,1,False,0,False,False,314.8994445800781,11.301326769766458
23,0,5,3,0,5,1,False,0,False,False,332.6769714355469,11.59147067274916
25,0,5,5,0,3,1,False,0,False,False,334.411865234375,11.679194647822124
