,MA,high_low_diff,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
2,0,0,2,False,10,False,True,20.084579467773438,1.6288243397159234
0,0,0,2,False,0,False,True,20.393184661865234,1.6506640333812643
1,0,0,2,False,5,False,True,20.107324600219727,1.6564474538387342
9,5,0,2,False,0,False,True,22.109302520751953,1.8133396883427542
5,0,5,2,False,10,False,True,24.720048904418945,2.0541355146196816
18,10,0,2,False,0,False,True,25.316753387451172,2.0639814802717593
10,5,0,2,False,5,False,True,25.548330307006836,2.077832333180641
12,5,5,2,False,0,False,True,25.237638473510742,2.08215683708565
26,10,10,2,False,10,False,True,26.886098861694336,2.2040722291382666
23,10,5,2,False,10,False,True,26.58983039855957,2.217216185376302
14,5,5,2,False,10,False,True,28.147592544555664,2.2871273451854903
16,5,10,2,False,5,False,True,29.168188095092773,2.393589342189525
3,0,5,2,False,0,False,True,28.69050407409668,2.43138544832431
25,10,10,2,False,5,False,True,30.570219039916992,2.5128977580420244
8,0,10,2,False,10,False,True,30.62543487548828,2.5239371965910955
22,10,5,2,False,5,False,True,35.66730880737305,2.739155231480289
17,5,10,2,False,10,False,True,34.131019592285156,2.8264281272418508
20,10,0,2,False,10,False,True,36.453433990478516,2.8364474305149154
24,10,10,2,False,0,False,True,36.63140869140625,2.8369049265789625
7,0,10,2,False,5,False,True,34.297542572021484,2.8526958840918604
4,0,5,2,False,5,False,True,36.31789779663086,3.0913697037048076
6,0,10,2,False,0,False,True,42.928714752197266,3.5557710998945136
19,10,0,2,False,5,False,True,50.51881790161133,3.9273804422731184
21,10,5,2,False,0,False,True,47.1352424621582,3.9919441244642293
13,5,5,2,False,5,False,True,46.91001510620117,4.007196281725223
11,5,0,2,False,10,False,True,50.223716735839844,4.202163943668611
15,5,10,2,False,0,False,True,62.703426361083984,5.298631109001092
