,n_lags,use_holidays,weekly_seasonality,yearly_seasonality,RMSE,MAPE
14,2,False,False,True,20.393184661865234,1.6506640333812643
25,3,True,True,False,21.785747528076172,1.7812384838785937
1,4,True,True,False,21.88520050048828,1.7932631429073669
4,4,False,True,True,23.647621154785156,1.9578032512868133
31,3,False,False,False,25.917922973632812,2.0195817751929415
12,2,False,True,True,25.53128433227539,2.0347118965025137
20,7,False,True,True,25.37881851196289,2.0862939381803307
28,3,False,True,True,25.814332962036133,2.0889306879822347
19,7,True,False,False,25.63712501525879,2.115797564584011
22,7,False,False,True,27.068532943725586,2.166452803442178
11,2,True,False,False,27.77833366394043,2.20373996620887
0,4,True,True,True,27.227394104003906,2.2385873372501965
17,7,True,True,False,28.712080001831055,2.312003422261123
29,3,False,True,False,28.137258529663086,2.3385576144339653
21,7,False,True,False,29.568387985229492,2.3687340950882376
27,3,True,False,False,30.665531158447266,2.448855062390394
30,3,False,False,True,30.4747371673584,2.48732048390054
26,3,True,False,True,30.877845764160156,2.4966559005564464
7,4,False,False,False,33.02560806274414,2.6001953167911016
9,2,True,True,False,32.25511932373047,2.73114261727689
3,4,True,False,False,37.811500549316406,3.013821715883346
6,4,False,False,True,39.54142379760742,3.248428126802088
5,4,False,True,False,43.3328742980957,3.5360327890542282
23,7,False,False,False,46.197914123535156,3.7151163873450845
18,7,True,False,True,47.83154296875,3.836534136690723
15,2,False,False,False,47.161563873291016,4.031120599714824
2,4,True,False,True,52.99860382080078,4.545989428131354
24,3,True,True,True,64.95941925048828,5.679950346295515
10,2,True,False,True,67.42728424072266,5.821382218845703
16,7,True,True,True,84.18767547607422,7.1906937508783635
8,2,True,True,True,95.99042510986328,8.410916397449038
13,2,False,True,False,99.66287231445312,8.494916710373811
