,ds,open_price,high_price,low_price,y,volume,foreign,investment,dealer,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,ratio_over_1000_shares
0,2022-11-01,92.1,92.9,91.2,91.5,3274377,-603400,202000,74000,66.87,39,14,10,60.9
1,2022-11-02,92.0,92.7,90.7,92.5,3412204,488000,-93000,33407,66.87,39,14,10,60.9
2,2022-11-03,91.2,95.7,91.1,95.1,10729221,1761336,1572000,413322,66.87,39,14,10,60.9
3,2022-11-04,95.5,97.0,94.0,96.8,13718438,-676790,1796000,53309,66.87,39,14,10,60.9
4,2022-11-07,97.5,103.5,97.2,102.0,19421997,-26000,3422000,-105596,67.56,37,13,13,61.41
5,2022-11-08,103.5,104.5,100.0,101.0,10952833,-679598,450000,-251123,67.56,37,13,13,61.41
6,2022-11-09,101.0,103.0,99.9,102.5,9104256,-258475,1470000,-61302,67.56,37,13,13,61.41
7,2022-11-10,100.5,102.0,99.2,100.5,7616644,113338,81000,-151838,67.56,37,13,13,61.41
8,2022-11-11,104.5,105.5,100.5,101.0,8374488,1269203,-493000,-121492,67.56,37,13,13,61.41
9,2022-11-14,100.0,101.0,98.3,100.5,11612195,2371000,-1473000,7434,68.55,35,16,13,62.27
10,2022-11-15,100.0,100.5,98.0,99.0,7596407,266200,-797000,-119429,68.55,35,16,13,62.27
11,2022-11-16,99.1,105.0,99.1,104.0,16540715,2883491,118000,358022,68.55,35,16,13,62.27
12,2022-11-17,103.0,107.5,102.5,107.0,16069970,-829550,2990000,421448,68.55,35,16,13,62.27
13,2022-11-18,109.5,113.0,107.5,113.0,28264294,3390029,2646000,216064,68.55,35,16,13,62.27
14,2022-11-21,113.0,113.0,107.5,108.0,17040774,-5695136,45000,-486391,68.47,35,14,13,62.35
15,2022-11-22,107.0,109.5,106.0,107.0,7965955,-1460000,778000,-228254,68.47,35,14,13,62.35
16,2022-11-23,109.0,109.0,105.5,105.5,6480304,-1394000,-657000,-47671,68.47,35,14,13,62.35
17,2022-11-24,106.0,107.0,105.0,107.0,4119246,130000,-144000,56052,68.47,35,14,13,62.35
18,2022-11-25,107.5,112.0,106.5,107.5,18581817,450823,550000,258641,68.47,35,14,13,62.35
19,2022-11-28,107.0,109.5,106.5,108.5,6698085,1880046,-90000,-72406,69.2,33,17,11,63.21
20,2022-11-29,108.0,109.0,106.5,108.0,4823857,517000,-168000,-93000,69.2,33,17,11,63.21
21,2022-11-30,109.5,111.5,107.0,108.0,7223689,-498489,167000,-301100,69.2,33,17,11,63.21
22,2022-12-01,109.5,113.0,108.5,112.5,10972155,2651000,102000,17200,69.2,33,17,11,63.21
23,2022-12-02,111.0,112.0,110.0,111.0,3082696,-132041,-380000,-146761,69.2,33,17,11,63.21
24,2022-12-05,110.5,111.0,108.0,108.0,6771655,-806200,-101000,-132302,67.96,30,18,10,62.36
25,2022-12-06,107.5,108.0,103.0,103.5,9510763,-201952,-842000,-385404,67.96,30,18,10,62.36
26,2022-12-07,102.5,102.5,99.4,101.0,10037201,1467214,-2223000,-21775,67.96,30,18,10,62.36
27,2022-12-08,103.5,104.5,100.0,102.5,10095314,-1506000,1180000,3659,67.96,30,18,10,62.36
28,2022-12-09,103.0,104.0,101.0,102.5,4177914,542541,-1199000,-132463,67.96,30,18,10,62.36
29,2022-12-12,101.5,103.0,100.0,102.5,3799708,673275,-89000,-63352,69.98,39,12,11,64.05
30,2022-12-13,103.0,104.5,101.0,102.5,5997742,878100,653000,24065,69.98,39,12,11,64.05
31,2022-12-14,104.0,108.5,102.5,107.0,15493276,-522790,664000,136132,69.98,39,12,11,64.05
32,2022-12-15,113.5,117.5,110.5,114.0,41309252,7516700,403000,302439,69.98,39,12,11,64.05
33,2022-12-16,111.5,113.0,106.5,107.0,29319092,-1813884,-5871000,41525,69.98,39,12,11,64.05
34,2022-12-19,106.0,106.0,103.0,103.0,13562828,1540432,-5118000,-350390,68.3,39,17,10,62.03
35,2022-12-20,103.5,106.0,100.0,100.0,14362530,1008533,-4525000,-16683,68.3,39,17,10,62.03
36,2022-12-21,101.5,102.0,100.5,101.0,9724805,3242207,-4313000,-75036,68.3,39,17,10,62.03
37,2022-12-22,103.0,106.5,103.0,105.0,12528268,5351788,-3983000,-46757,68.3,39,17,10,62.03
38,2022-12-23,103.0,106.5,102.0,106.5,5226927,342552,597000,21283,68.3,39,17,10,62.03
39,2022-12-26,109.0,109.0,105.0,105.0,6519251,-1648500,204000,-47000,68.15,36,15,10,62.28
40,2022-12-27,106.0,107.0,105.0,106.0,2523138,391000,238000,-13000,68.15,36,15,10,62.28
41,2022-12-28,105.5,106.0,104.0,105.5,2140775,111900,350000,-78142,68.15,36,15,10,62.28
42,2022-12-29,104.0,108.0,102.5,107.5,6010746,13356,1611000,149204,68.15,36,15,10,62.28
43,2022-12-30,109.0,109.5,106.5,106.5,4472380,-526900,245000,-17000,68.15,36,15,10,62.28
44,2023-01-03,105.0,111.0,105.0,111.0,10763824,3466895,444000,353555,68.85,35,18,12,62.47
45,2023-01-04,110.0,112.0,109.0,112.0,6803117,-269370,1381000,26901,68.85,35,18,12,62.47
46,2023-01-05,112.5,114.5,109.5,110.5,8664821,-808417,486000,2656,68.85,35,18,12,62.47
47,2023-01-06,110.5,113.5,110.5,112.0,4863800,1640000,210000,134343,68.85,35,18,12,62.47
48,2023-01-09,113.5,114.5,112.0,113.5,6729708,909888,1332000,-14348,70.04,35,20,12,63.44
49,2023-01-10,113.5,115.0,112.5,114.5,6448844,2549530,-500000,-49257,70.04,35,20,12,63.44
50,2023-01-11,114.5,114.5,113.0,114.5,5194635,993000,151000,48873,70.04,35,20,12,63.44
51,2023-01-12,114.0,115.0,113.0,114.0,3155816,373000,269000,-101836,70.04,35,20,12,63.44
52,2023-01-13,114.5,115.0,113.0,114.0,4474028,409800,-44000,-41329,70.04,35,20,12,63.44
53,2023-01-16,114.5,115.0,113.0,113.5,4604619,-747000,576000,39311,70.27,32,21,11,63.84
54,2023-01-17,114.0,114.5,113.0,114.0,4726224,733864,168000,72929,70.27,32,21,11,63.84
55,2023-01-30,116.0,120.5,116.0,119.5,13247870,1996530,1150000,820755,70.75,36,21,11,64.13
56,2023-01-31,118.5,122.0,114.5,115.5,12261934,2562308,-1394000,-165174,70.75,36,21,11,64.13
57,2023-02-01,117.0,118.0,116.0,117.0,8284322,1685000,-747000,-192112,70.75,36,21,11,64.13
58,2023-02-02,118.0,118.5,116.5,118.0,7552022,1281351,-1148000,-72000,70.75,36,21,11,64.13
59,2023-02-03,117.5,117.5,114.5,114.5,9115190,1342373,-3399000,8278,70.75,36,21,11,64.13
60,2023-02-06,113.5,116.5,113.5,116.0,7562332,2947009,-1882000,94062,70.78,37,21,13,63.79
61,2023-02-07,115.0,120.0,115.0,119.5,10265939,4758500,578000,-47025,70.78,37,21,13,63.79
62,2023-02-08,120.5,122.5,119.0,120.0,10681551,541000,720000,-291050,70.78,37,21,13,63.79
63,2023-02-09,119.0,121.0,117.0,117.0,6507772,-2123000,-210000,-22343,70.78,37,21,13,63.79
64,2023-02-10,117.5,118.0,116.0,117.0,4858970,-761322,-239000,64823,70.78,37,21,13,63.79
65,2023-02-13,117.0,118.5,116.0,117.5,3349535,-248966,-173000,29002,70.87,38,23,8,64.23
66,2023-02-14,118.0,119.5,117.0,119.0,3973864,111630,207000,-13275,70.87,38,23,8,64.23
67,2023-02-15,119.0,120.5,118.0,119.0,4718252,-571000,-208000,622000,70.87,38,23,8,64.23
68,2023-02-16,120.0,122.0,119.5,121.0,5022575,-633000,-110000,150950,70.87,38,23,8,64.23
69,2023-02-17,119.0,120.0,117.5,117.5,4798993,423000,-1898000,38328,70.87,38,23,8,64.23
70,2023-02-20,118.0,118.5,116.5,116.5,3926499,143169,-1162000,-4230,70.76,42,20,9,64.05
71,2023-02-21,117.0,117.5,115.0,116.5,4530009,325100,-650000,54864,70.76,42,20,9,64.05
72,2023-02-22,115.5,117.5,114.5,117.5,3773348,112642,-258000,62000,70.76,42,20,9,64.05
73,2023-02-23,121.0,121.5,119.5,120.5,11428965,932968,563000,392214,70.76,42,20,9,64.05
74,2023-02-24,122.5,124.0,118.5,119.0,7847535,907000,-581000,67522,70.76,42,20,9,64.05
