,ds,open_price,high_price,low_price,y,volume,foreign,investment,dealer,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,ratio_over_1000_shares
0,2022-11-01,64.4,66.9,63.9,66.7,9523953,1939000,87000,593870,86.39,122,65,50,80.05
1,2022-11-02,66.3,66.6,65.8,66.4,6187836,-500798,610000,97000,86.39,122,65,50,80.05
2,2022-11-03,65.4,66.7,65.4,66.4,4688704,-1382553,1591000,223512,86.39,122,65,50,80.05
3,2022-11-04,66.6,66.6,65.4,66.4,4206808,-873000,347000,178999,86.39,122,65,50,80.05
4,2022-11-07,66.3,67.2,66.1,67.0,4630966,-61974,-113000,34682,86.31,120,64,52,79.95
5,2022-11-08,66.9,67.1,66.3,67.0,6098800,572896,-796000,152809,86.31,120,64,52,79.95
6,2022-11-09,66.6,67.2,66.3,66.6,4560002,-40459,-195552,-90751,86.31,120,64,52,79.95
7,2022-11-10,67.0,67.1,65.1,65.6,5324004,-1159450,268000,-232362,86.31,120,64,52,79.95
8,2022-11-11,66.6,66.7,65.8,65.9,5700769,1164554,-212000,-176777,86.31,120,64,52,79.95
9,2022-11-14,66.7,67.2,66.3,67.1,5726243,1978978,-261000,-367417,86.43,129,63,56,79.72
10,2022-11-15,66.3,66.8,64.8,66.7,9062386,220804,-236816,-411530,86.43,129,63,56,79.72
11,2022-11-16,66.5,68.4,66.0,67.6,8110154,1295190,-237000,-375643,86.43,129,63,56,79.72
12,2022-11-17,67.2,67.6,66.5,67.5,6442840,-742397,-40000,-131356,86.43,129,63,56,79.72
13,2022-11-18,67.0,67.5,66.8,67.4,5308145,-427367,29000,75814,86.43,129,63,56,79.72
14,2022-11-21,66.9,67.3,65.4,65.7,8179180,-2359348,-1582000,-37897,86.07,125,64,57,79.38
15,2022-11-22,65.2,65.2,63.7,64.1,9335484,-2745600,-2359000,-330110,86.07,125,64,57,79.38
16,2022-11-23,63.7,64.4,63.0,64.1,10146846,-758350,-3542000,-106202,86.07,125,64,57,79.38
17,2022-11-24,64.6,66.1,64.0,66.1,7738102,1642393,-2319000,-87300,86.07,125,64,57,79.38
18,2022-11-25,65.3,65.5,64.3,64.5,8604997,-2543597,-2205000,-5527,86.07,125,64,57,79.38
19,2022-11-28,64.1,65.5,64.1,65.5,7550347,2750769,-2213000,-31880,86.08,124,66,60,79.26
