,ds,open_price,high_price,low_price,y,volume,foreign,investment,dealer,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,ratio_over_1000_shares
0,2022-11-01,240.5,248.0,240.0,244.0,1994618,103556,-49000,124096,78.68,49,31,22,67.06
1,2022-11-02,244.0,245.5,239.0,242.5,1650230,-3639,-150000,7109,78.68,49,31,22,67.06
2,2022-11-03,238.5,249.0,237.0,247.5,2184500,-118387,-48000,64989,78.68,49,31,22,67.06
3,2022-11-04,244.0,252.0,243.5,250.0,1831764,-50220,-61000,207441,78.68,49,31,22,67.06
4,2022-11-07,249.0,251.5,245.0,249.5,2954150,-343079,91000,-163840,79.37,57,33,21,67.06
5,2022-11-08,252.0,255.0,248.0,249.0,1937133,476349,96000,-45895,79.37,57,33,21,67.06
6,2022-11-09,253.0,256.0,251.5,254.0,2091478,651800,-294325,-29329,79.37,57,33,21,67.06
7,2022-11-10,250.0,251.0,239.5,245.0,4180064,245296,-798000,-121399,79.37,57,33,21,67.06
8,2022-11-11,260.0,263.0,255.0,261.5,4114597,1190663,-41000,-70824,79.37,57,33,21,67.06
9,2022-11-14,262.5,262.5,253.0,254.0,3280683,-816774,-44000,109519,78.93,55,31,24,66.54
10,2022-11-15,256.5,258.0,252.0,256.5,2154046,418496,-167800,-42746,78.93,55,31,24,66.54
11,2022-11-16,259.5,262.5,255.5,261.0,2698844,322482,18000,46279,78.93,55,31,24,66.54
12,2022-11-17,264.0,266.0,258.5,259.0,1974977,184082,-117000,-8985,78.93,55,31,24,66.54
13,2022-11-18,261.0,263.5,257.0,259.5,2134312,-755704,289000,199338,78.93,55,31,24,66.54
14,2022-11-21,255.5,260.5,252.5,256.5,2278187,434950,-71000,-142968,79.13,51,33,22,67.15
15,2022-11-22,256.5,263.0,254.0,260.5,2026408,353022,-40000,-106194,79.13,51,33,22,67.15
16,2022-11-23,262.0,264.5,261.0,262.5,1062945,88282,4000,-22536,79.13,51,33,22,67.15
17,2022-11-24,266.0,271.0,263.5,269.0,2405403,391367,-2000,-12577,79.13,51,33,22,67.15
18,2022-11-25,271.0,272.0,264.5,265.5,1354878,-116000,-28000,-29490,79.13,51,33,22,67.15
19,2022-11-28,260.5,269.0,260.5,266.5,1013882,-11665,-2000,27517,79.09,46,39,23,66.74
20,2022-11-29,268.5,270.0,266.0,268.0,974109,-8946,0,-17047,79.09,46,39,23,66.74
21,2022-11-30,272.0,274.5,269.0,271.5,2871065,398989,92986,-6053,79.09,46,39,23,66.74
22,2022-12-01,279.0,279.5,271.5,272.0,2502952,717352,32000,-93533,79.09,46,39,23,66.74
23,2022-12-02,269.5,270.5,255.5,259.0,6467526,-474297,-913000,46441,79.09,46,39,23,66.74
24,2022-12-05,259.5,261.0,254.5,258.0,4860747,303574,-104000,-92986,78.65,49,40,15,67.11
25,2022-12-06,258.5,262.5,255.5,260.0,3395089,204516,-68000,53534,78.65,49,40,15,67.11
26,2022-12-07,259.0,259.0,248.0,248.5,3796779,-204261,-177000,-42846,78.65,49,40,15,67.11
27,2022-12-08,252.0,252.0,245.0,248.5,2286250,-42595,-99000,-25949,78.65,49,40,15,67.11
