,ds,open_price,high_price,low_price,y,volume,foreign,investment,dealer,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,ratio_over_1000_shares
0,2022-11-01,738.0,755.0,725.0,735.0,1755019,55679,-13000,19007,72.64,25,4,5,61.17
1,2022-11-02,784.0,804.0,745.0,785.0,3330252,-88048,251001,39538,72.64,25,4,5,61.17
2,2022-11-03,778.0,863.0,777.0,828.0,4250276,-55482,526000,62090,72.64,25,4,5,61.17
3,2022-11-04,831.0,858.0,823.0,856.0,2390159,214719,-158000,-20223,72.64,25,4,5,61.17
4,2022-11-07,860.0,876.0,833.0,841.0,2198261,284906,-1000,-37735,72.49,26,4,6,60.24
5,2022-11-08,852.0,854.0,835.0,840.0,1432465,262575,25000,5463,72.49,26,4,6,60.24
6,2022-11-09,851.0,878.0,846.0,875.0,2010097,396864,-77045,28365,72.49,26,4,6,60.24
7,2022-11-10,834.0,855.0,823.0,824.0,2642792,168588,-276000,-48769,72.49,26,4,6,60.24
8,2022-11-11,853.0,859.0,819.0,822.0,2682026,44360,-12000,6834,72.49,26,4,6,60.24
9,2022-11-14,835.0,858.0,835.0,850.0,2427043,348072,-34000,-670,72.05,18,10,4,60.81
10,2022-11-15,850.0,855.0,829.0,841.0,1914862,364165,-235110,-2048,72.05,18,10,4,60.81
11,2022-11-16,849.0,863.0,840.0,858.0,1538455,294698,-22000,9046,72.05,18,10,4,60.81
12,2022-11-17,863.0,874.0,855.0,868.0,1027267,93386,-50000,-8697,72.05,18,10,4,60.81
13,2022-11-18,873.0,875.0,846.0,852.0,1061207,38726,-43000,-25000,72.05,18,10,4,60.81
14,2022-11-21,853.0,862.0,844.0,858.0,950731,34200,-1000,9778,71.69,20,10,4,59.79
15,2022-11-22,851.0,880.0,845.0,869.0,2140889,96300,0,43688,71.69,20,10,4,59.79
16,2022-11-23,880.0,886.0,855.0,858.0,1197923,42075,0,-100,71.69,20,10,4,59.79
17,2022-11-24,869.0,869.0,855.0,865.0,680535,-34596,24800,442,71.69,20,10,4,59.79
18,2022-11-25,868.0,871.0,845.0,855.0,957055,110586,-10000,-7558,71.69,20,10,4,59.79
19,2022-11-28,848.0,862.0,847.0,860.0,723022,178455,-1000,-11467,71.64,25,8,3,59.53
