,ds,open_price,high_price,low_price,y,volume,foreign,investment,dealer,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,ratio_over_1000_shares
0,2022-11-01,67.8,68.0,66.7,67.0,10158750,-2853000,-1423000,496792,89.32,72,47,36,86.73
1,2022-11-02,67.1,67.5,66.3,67.3,7886709,744923,-980000,40349,89.32,72,47,36,86.73
2,2022-11-03,66.8,67.1,66.6,66.8,6090812,-1375171,310000,48134,89.32,72,47,36,86.73
3,2022-11-04,66.5,66.8,66.2,66.7,5910638,-487461,5000,172973,89.32,72,47,36,86.73
4,2022-11-07,67.3,67.9,66.9,67.9,7374108,278805,-213000,58179,89.25,75,47,37,86.58
5,2022-11-08,68.2,69.2,67.9,68.1,9783653,-1099876,-181000,1507916,89.25,75,47,37,86.58
6,2022-11-09,68.7,69.2,68.6,69.1,6259813,1689452,-240624,-120000,89.25,75,47,37,86.58
7,2022-11-10,69.1,69.1,67.8,68.1,6711300,-991808,159000,-22968,89.25,75,47,37,86.58
8,2022-11-11,69.4,70.7,69.4,70.5,11502960,5709275,-246000,85576,89.25,75,47,37,86.58
9,2022-11-14,71.5,73.8,70.8,73.0,20385015,5207521,458000,-1544133,89.3,80,47,36,86.6
10,2022-11-15,73.0,73.0,71.7,72.4,10825098,316256,-297992,-141000,89.3,80,47,36,86.6
11,2022-11-16,72.1,72.2,71.3,71.3,9364622,-2717921,-121000,-98319,89.3,80,47,36,86.6
12,2022-11-17,71.0,71.1,69.7,70.9,10391365,-4029065,-85000,238765,89.3,80,47,36,86.6
13,2022-11-18,71.1,72.1,70.8,71.5,7940854,-344188,-45000,-944591,89.3,80,47,36,86.6
14,2022-11-21,71.6,71.6,70.3,70.5,4660302,-2350486,1000,19791,89.25,81,49,37,86.48
15,2022-11-22,70.6,70.7,69.6,70.6,5309787,-1164187,280000,40633,89.25,81,49,37,86.48
16,2022-11-23,70.9,71.2,70.6,70.7,4796290,-1879604,1225000,30612,89.25,81,49,37,86.48
17,2022-11-24,71.4,72.3,71.3,72.1,7414391,870000,300000,37948,89.25,81,49,37,86.48
18,2022-11-25,72.3,72.3,71.0,71.0,7441387,-3280518,-128000,-98192,89.25,81,49,37,86.48
19,2022-11-28,70.3,71.0,70.3,70.5,6094169,263919,168000,-69674,89.12,78,49,38,86.35
20,2022-11-29,71.0,71.6,70.5,71.5,3951175,122338,227000,-41450,89.12,78,49,38,86.35
21,2022-11-30,71.5,71.9,71.1,71.6,8518130,-173654,116917,-10985,89.12,78,49,38,86.35
22,2022-12-01,72.3,72.5,71.8,72.2,6534912,46988,-52000,-174027,89.12,78,49,38,86.35
23,2022-12-02,71.5,72.2,71.4,72.1,6231962,-2253123,-14000,-106066,89.12,78,49,38,86.35
24,2022-12-05,71.9,73.6,71.7,73.6,8719389,1025809,-11000,20560,89.09,76,50,40,86.28
25,2022-12-06,73.0,73.0,72.2,72.5,7221486,-2676840,-5000,4154,89.09,76,50,40,86.28
26,2022-12-07,71.9,72.1,71.3,71.5,6673430,-1559699,-597000,251537,89.09,76,50,40,86.28
27,2022-12-08,71.3,72.3,70.7,71.9,6554530,-2014440,348000,151000,89.09,76,50,40,86.28
28,2022-12-09,72.4,72.7,72.0,72.5,5348306,538520,-175000,-54820,89.09,76,50,40,86.28
29,2022-12-12,72.3,72.6,71.3,72.5,5342810,-1243323,116000,-36000,89.04,72,50,44,86.2
30,2022-12-13,72.5,72.6,71.7,72.1,5671665,-805268,47129,-123397,89.04,72,50,44,86.2
31,2022-12-14,72.6,72.9,71.8,72.8,4633268,841139,-157036,223000,89.04,72,50,44,86.2
32,2022-12-15,72.5,73.1,72.2,72.6,6080670,-301072,-697000,-124271,89.04,72,50,44,86.2
33,2022-12-16,71.6,72.1,70.7,72.0,30258948,11598011,-16097348,-80577,89.04,72,50,44,86.2
34,2022-12-19,71.4,72.5,71.2,72.4,22658217,15438341,-15176000,137644,88.85,68,54,38,86.13
