,ds,open_price,high_price,low_price,y,volume,foreign,investment,dealer,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,ratio_over_1000_shares
0,2022-11-01,80.1,80.3,79.4,79.5,742399,-219000,-25000,116171,78.39,49,26,20,70.42
1,2022-11-02,79.8,80.1,79.3,79.3,761322,-79955,-73000,-9129,78.39,49,26,20,70.42
2,2022-11-03,79.3,80.4,78.8,79.9,1538147,-425192,-43000,37949,78.39,49,26,20,70.42
3,2022-11-04,80.8,80.8,79.7,80.3,1921066,-332820,-251000,50603,78.39,49,26,20,70.42
4,2022-11-07,80.5,80.7,79.8,80.2,1262889,820,-421000,43664,78.37,51,29,19,70.14
5,2022-11-08,80.6,81.0,80.4,80.5,1590923,-589870,-60000,72870,78.37,51,29,19,70.14
6,2022-11-09,80.8,82.3,80.8,82.2,1812012,481887,-70000,23000,78.37,51,29,19,70.14
7,2022-11-10,81.7,82.2,81.0,81.0,1120014,-347578,0,1242,78.37,51,29,19,70.14
8,2022-11-11,82.6,82.6,81.4,82.0,1725765,123728,-53000,1000,78.37,51,29,19,70.14
9,2022-11-14,82.9,82.9,82.0,82.3,1412371,328000,-84000,-67000,78.41,54,28,18,70.12
10,2022-11-15,82.3,83.0,81.2,82.4,1715637,181348,-32000,-97026,78.41,54,28,18,70.12
11,2022-11-16,82.4,82.8,81.7,81.7,1155008,-69041,8000,-101000,78.41,54,28,18,70.12
12,2022-11-17,81.6,81.6,80.7,81.3,2172790,-691952,-40000,-53595,78.41,54,28,18,70.12
13,2022-11-18,81.6,81.7,80.8,81.0,2506128,-287000,-13000,-31701,78.41,54,28,18,70.12
14,2022-11-21,81.1,81.5,80.7,81.1,1005547,-336000,-5000,5130,78.49,54,26,19,70.28
15,2022-11-22,81.0,81.2,80.5,80.6,1506564,-731000,-50000,-103311,78.49,54,26,19,70.28
16,2022-11-23,81.0,82.1,80.9,81.2,1074625,-169652,-10000,7154,78.49,54,26,19,70.28
