,ds,open_price,high_price,low_price,y,volume,foreign,investment,dealer,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,ratio_over_1000_shares
0,2022-11-01,592.0,604.0,590.0,599.0,8454173,-831184,979592,88065,77.77,132,77,58,67.13
1,2022-11-02,595.0,607.0,593.0,599.0,6841497,-393915,255582,101571,77.77,132,77,58,67.13
2,2022-11-03,587.0,602.0,587.0,600.0,6419381,-611310,84608,11041,77.77,132,77,58,67.13
3,2022-11-04,600.0,600.0,586.0,597.0,4423954,-685503,37288,9939,77.77,132,77,58,67.13
4,2022-11-07,608.0,623.0,601.0,620.0,8262942,1119064,233900,240035,77.74,129,79,56,67.17
5,2022-11-08,632.0,632.0,616.0,620.0,7912180,-56270,453000,-35705,77.74,129,79,56,67.17
6,2022-11-09,628.0,656.0,626.0,650.0,12934955,1078494,630265,106477,77.74,129,79,56,67.17
7,2022-11-10,648.0,660.0,641.0,660.0,7376979,2232533,303200,-410652,77.74,129,79,56,67.17
8,2022-11-11,698.0,700.0,680.0,700.0,17001177,4191434,1206700,-412114,77.74,129,79,56,67.17
9,2022-11-14,705.0,710.0,694.0,697.0,9849795,1705140,64000,-481253,78.25,136,77,56,67.56
10,2022-11-15,704.0,735.0,700.0,722.0,13979872,4063324,160193,-392014,78.25,136,77,56,67.56
11,2022-11-16,732.0,738.0,719.0,729.0,10399350,2413120,147843,-560293,78.25,136,77,56,67.56
12,2022-11-17,740.0,740.0,716.0,725.0,6928331,216415,29180,-194937,78.25,136,77,56,67.56
13,2022-11-18,732.0,742.0,716.0,722.0,5558511,-149209,72680,-554025,78.25,136,77,56,67.56
14,2022-11-21,716.0,722.0,709.0,720.0,4436545,-315892,-208000,-37032,78.36,130,78,56,67.77
15,2022-11-22,707.0,715.0,703.0,713.0,6289730,-745811,-268000,-55670,78.36,130,78,56,67.77
16,2022-11-23,722.0,722.0,705.0,705.0,3202235,-195702,-10000,6729,78.36,130,78,56,67.77
17,2022-11-24,715.0,736.0,711.0,728.0,7750672,1674969,828000,33913,78.36,130,78,56,67.77
18,2022-11-25,729.0,736.0,723.0,727.0,5847844,-1166678,666000,-295914,78.36,130,78,56,67.77
19,2022-11-28,703.0,719.0,703.0,703.0,5606289,-2247191,759852,-145919,78.39,126,79,57,67.81
20,2022-11-29,695.0,718.0,695.0,713.0,5160799,-265900,722023,26500,78.39,126,79,57,67.81
21,2022-11-30,714.0,738.0,711.0,733.0,9728516,1632773,1121004,-549979,78.39,126,79,57,67.81
22,2022-12-01,750.0,756.0,738.0,741.0,6932733,592071,748000,-544754,78.39,126,79,57,67.81
