,ds,open_price,high_price,low_price,y,volume,foreign,investment,dealer,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,ratio_over_1000_shares
0,2022-11-01,85.0,87.4,84.5,86.5,14171005,142000,59000,-76964,79.29,24,14,10,73.1
1,2022-11-02,86.5,88.4,86.0,88.2,8857150,1159776,62000,148340,79.29,24,14,10,73.1
2,2022-11-03,87.5,88.4,86.6,87.8,9397953,519189,-671000,198800,79.29,24,14,10,73.1
3,2022-11-04,87.0,88.4,86.0,88.1,6162800,488900,7000,-67796,79.29,24,14,10,73.1
4,2022-11-07,89.5,90.2,87.5,87.6,7773836,-616000,-56000,-129165,80.59,23,14,11,74.32
5,2022-11-08,88.4,93.4,88.3,89.2,21312272,626800,1390000,313751,80.59,23,14,11,74.32
6,2022-11-09,92.0,92.8,89.8,92.0,14926599,899546,375000,-41891,80.59,23,14,11,74.32
7,2022-11-10,91.0,94.5,90.3,94.0,15752799,2965619,6000,156721,80.59,23,14,11,74.32
8,2022-11-11,97.0,99.8,93.4,94.0,25443228,-1756895,-125000,-69846,80.59,23,14,11,74.32
9,2022-11-14,95.0,98.5,94.6,97.3,14742158,3622400,202000,-67962,81.44,24,14,12,74.87
10,2022-11-15,97.1,97.8,94.8,95.6,9466943,-1248400,95800,-35600,81.44,24,14,12,74.87
11,2022-11-16,96.7,98.2,95.2,96.8,10670652,1096190,35000,-107204,81.44,24,14,12,74.87
12,2022-11-17,96.8,98.8,96.8,98.7,8136891,1578500,1000,99238,81.44,24,14,12,74.87
13,2022-11-18,100.5,101.5,96.3,97.1,17309773,-48000,-356000,-80569,81.44,24,14,12,74.87
14,2022-11-21,97.1,101.0,96.7,98.5,14215999,2416000,144000,102429,82.11,21,12,11,76.28
15,2022-11-22,97.9,98.2,95.9,97.1,9104672,-1022000,-163000,-98285,82.11,21,12,11,76.28
16,2022-11-23,97.9,99.2,97.6,98.7,7199174,1112000,420000,-43643,82.11,21,12,11,76.28
17,2022-11-24,99.3,101.5,99.2,100.5,8114324,1386000,541000,42802,82.11,21,12,11,76.28
18,2022-11-25,103.0,103.0,98.0,100.0,13516572,-480100,1459000,1341,82.11,21,12,11,76.28
19,2022-11-28,99.5,103.0,99.0,102.5,5898433,977000,-40000,96466,82.81,26,11,9,76.98
20,2022-11-29,101.0,103.5,97.3,97.5,14758297,-3042484,-585000,-270590,82.81,26,11,9,76.98
21,2022-11-30,97.7,98.5,97.0,97.5,6041850,832195,-1798250,-69183,82.81,26,11,9,76.98
22,2022-12-01,99.1,102.0,98.8,100.5,10226642,2538896,1000,124227,82.81,26,11,9,76.98
23,2022-12-02,100.5,101.0,98.6,99.1,5616605,-201048,-2057000,-74845,82.81,26,11,9,76.98
24,2022-12-05,99.9,101.0,98.1,98.3,6152315,-535560,-1564000,-45671,82.18,23,12,12,75.96
25,2022-12-06,98.3,99.8,97.9,97.9,4907754,-147200,-947000,-83207,82.18,23,12,12,75.96
26,2022-12-07,97.1,97.6,94.0,95.5,7251869,-1438600,-306000,-190938,82.18,23,12,12,75.96
27,2022-12-08,94.8,95.9,94.3,95.2,2801541,-756000,1000,-1817,82.18,23,12,12,75.96
28,2022-12-09,96.3,96.8,95.4,95.5,2946382,-470325,-180000,-52012,82.18,23,12,12,75.96
29,2022-12-12,95.0,95.9,93.7,95.5,2315393,-363004,0,-16502,81.93,23,12,14,75.32
30,2022-12-13,96.1,97.0,95.0,95.0,3053546,-641200,51000,-39739,81.93,23,12,14,75.32
31,2022-12-14,95.3,97.1,95.2,97.0,3600757,584000,-11100,136562,81.93,23,12,14,75.32
32,2022-12-15,97.0,97.3,96.4,96.6,2341662,-826600,45000,-49056,81.93,23,12,14,75.32
33,2022-12-16,95.7,95.8,92.2,95.7,10270001,546000,-2780600,-70625,81.93,23,12,14,75.32
34,2022-12-19,94.5,95.7,94.4,95.1,2017904,-225000,-105400,3192,81.52,27,12,10,75.31
35,2022-12-20,94.8,95.8,91.8,91.8,4000916,-1396083,-114000,-13208,81.52,27,12,10,75.31
36,2022-12-21,92.6,93.5,90.2,90.2,3838318,-675100,-377000,-97458,81.52,27,12,10,75.31
37,2022-12-22,91.5,92.2,89.0,89.4,5283914,-1432700,-644000,-25725,81.52,27,12,10,75.31
38,2022-12-23,88.5,88.6,86.9,88.4,3685355,-339600,-392300,-40270,81.52,27,12,10,75.31
39,2022-12-26,88.9,89.6,88.1,89.0,1873773,-121000,36000,10543,80.99,24,13,12,74.56
40,2022-12-27,89.1,90.1,89.1,89.7,2311272,-911000,477000,-4298,80.99,24,13,12,74.56
41,2022-12-28,89.7,89.7,85.1,85.8,7072483,-1847004,-1160000,-44465,80.99,24,13,12,74.56
42,2022-12-29,85.3,87.2,84.6,87.0,2937293,-46704,30000,191699,80.99,24,13,12,74.56
43,2022-12-30,88.1,88.9,86.8,86.8,3812132,-1331604,652000,13398,80.99,24,13,12,74.56
44,2023-01-03,86.9,89.9,86.8,89.2,5622403,85396,-275000,348775,79.7,18,13,12,73.8
45,2023-01-04,89.0,90.1,86.0,87.0,8766689,-2577331,-1436200,6441,79.7,18,13,12,73.8
46,2023-01-05,87.7,88.1,85.2,85.2,9045776,-1191682,-2397000,-125719,79.7,18,13,12,73.8
47,2023-01-06,85.1,87.9,84.7,87.2,7235159,507000,-503600,176709,79.7,18,13,12,73.8
48,2023-01-09,88.2,91.1,88.1,91.0,10911277,1814215,-505000,314273,80.55,21,12,10,74.77
49,2023-01-10,91.0,92.5,90.5,91.8,7300548,-635778,741000,-166635,80.55,21,12,10,74.77
50,2023-01-11,92.5,93.7,90.8,90.9,6596958,-1177000,-191000,-509,80.55,21,12,10,74.77
51,2023-01-12,91.4,91.5,88.1,88.6,7426343,-1836000,-1103000,-96752,80.55,21,12,10,74.77
52,2023-01-13,89.2,89.7,88.5,89.3,4204044,-202000,-801000,-3078,80.55,21,12,10,74.77
53,2023-01-16,89.2,89.8,87.2,88.7,6216929,-724015,-784000,70307,80.27,20,13,9,74.67
54,2023-01-17,88.7,89.1,87.6,88.0,3652669,-539000,-1032000,-7577,80.27,20,13,9,74.67
55,2023-01-30,89.6,89.9,88.0,88.0,5350088,-967395,-1246000,168703,79.66,16,10,13,74.19
56,2023-01-31,88.0,88.8,85.9,87.3,8428794,624203,-1602000,42747,79.66,16,10,13,74.19
57,2023-02-01,88.0,89.7,87.7,89.1,12199062,3267601,-3831000,274655,79.66,16,10,13,74.19
58,2023-02-02,89.8,93.5,89.8,93.5,17660124,1644102,-39000,513754,79.66,16,10,13,74.19
59,2023-02-03,93.7,94.7,92.1,93.4,11740080,-2410000,-510000,-234267,79.66,16,10,13,74.19
60,2023-02-06,92.7,93.1,89.0,89.5,14727227,-2494500,-3076200,-143802,76.79,22,6,12,71.49
61,2023-02-07,89.0,89.0,87.5,88.0,11904102,-525000,-5006000,-26703,76.79,22,6,12,71.49
62,2023-02-08,88.5,88.8,87.2,87.8,9200791,-4059995,-465700,-11904,76.79,22,6,12,71.49
63,2023-02-09,87.5,87.5,86.3,86.9,12974374,-183590,-5178000,-100281,76.79,22,6,12,71.49
64,2023-02-10,86.7,87.7,85.0,85.1,12110926,-811690,-2827900,24692,76.79,22,6,12,71.49
65,2023-02-13,85.1,86.6,85.0,86.5,6998795,1226000,-694000,-66417,75.92,20,7,9,71.29
66,2023-02-14,86.7,87.3,86.2,86.5,4844130,-810568,-1000,3278,75.92,20,7,9,71.29
67,2023-02-15,86.5,87.6,86.3,87.1,5891026,2083330,-535800,63448,75.92,20,7,9,71.29
68,2023-02-16,87.7,88.6,87.3,88.1,7723184,-596500,-93600,190886,75.92,20,7,9,71.29
69,2023-02-17,87.5,87.7,86.3,87.7,7033766,-1882500,-549000,-21495,75.92,20,7,9,71.29
70,2023-02-20,88.5,90.0,88.3,88.5,15130610,339500,1351000,10244,76.36,20,8,9,71.66
71,2023-02-21,89.9,90.5,88.5,88.6,12647470,-1314000,-48600,-94986,76.36,20,8,9,71.66
72,2023-02-22,87.5,87.6,86.2,87.1,7823731,-121915,0,-57304,76.36,20,8,9,71.66
73,2023-02-23,87.6,89.4,87.4,89.0,9166057,4621459,-1000,106526,76.36,20,8,9,71.66
74,2023-02-24,90.0,92.5,89.3,92.1,26274351,8766981,455000,473959,76.36,20,8,9,71.66
75,2023-03-01,92.1,93.4,89.8,90.8,14069129,-1798721,118000,-204785,78.52,20,11,12,72.86
76,2023-03-02,91.0,91.0,89.0,89.9,7230365,194700,-811200,-74000,78.52,20,11,12,72.86
77,2023-03-03,90.7,91.8,90.1,90.4,6322163,317000,-29000,-70000,78.52,20,11,12,72.86
78,2023-03-06,91.4,92.2,90.9,90.9,4786130,-801000,399200,138000,77.56,16,10,11,72.64
79,2023-03-07,91.9,93.3,91.4,93.0,11930839,2399399,13000,424424,77.56,16,10,11,72.64
80,2023-03-08,93.2,93.3,91.9,92.5,6706270,-619019,-8000,-261000,77.56,16,10,11,72.64
81,2023-03-09,91.2,91.4,88.7,89.4,17975928,-6280800,-560000,-128822,77.56,16,10,11,72.64
82,2023-03-10,87.5,88.8,87.1,87.7,6675500,-1423100,-119000,-32426,77.56,16,10,11,72.64
83,2023-03-13,87.7,89.3,86.6,89.3,6414736,-318072,707000,-133811,76.92,16,11,11,71.85
84,2023-03-14,88.5,89.8,88.1,88.1,4646809,211000,99000,-29164,76.92,16,11,11,71.85
85,2023-03-15,89.2,89.3,88.0,88.2,3170856,17300,31000,-35907,76.92,16,11,11,71.85
86,2023-03-16,87.8,88.4,86.2,86.8,4872282,-1374000,200000,-32984,76.92,16,11,11,71.85
87,2023-03-17,87.6,89.5,87.6,89.5,5342032,2807000,-243500,184772,76.92,16,11,11,71.85
88,2023-03-20,89.6,90.2,88.9,90.2,5521763,1181911,228000,58057,79.74,22,14,13,73.16
89,2023-03-21,91.2,92.8,90.8,92.5,12476675,5971000,139000,405417,79.74,22,14,13,73.16
90,2023-03-22,93.4,98.0,93.1,95.4,38065992,4403014,-1042000,33998,79.74,22,14,13,73.16
91,2023-03-23,95.3,96.8,92.4,93.2,16767756,-1663600,-970000,-130029,79.74,22,14,13,73.16
92,2023-03-24,93.2,94.5,92.4,94.0,9799316,-475000,213000,112005,79.74,22,14,13,73.16
93,2023-03-27,94.3,98.8,93.7,98.0,12757507,2277000,302000,255909,81.36,25,10,13,75.01
94,2023-03-28,96.8,99.4,96.5,97.7,15838265,768500,2226000,-21527,81.36,25,10,13,75.01
95,2023-03-29,98.8,99.8,96.0,96.7,11722328,-890000,-195000,154705,81.36,25,10,13,75.01
96,2023-03-30,97.9,98.4,96.9,97.8,8762409,2760300,-45400,314363,81.36,25,10,13,75.01
