,MA,high_low_diff,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
14,5,5,1,True,10,True,False,3.445526123046875,1.4764629186380192
22,10,5,1,True,5,True,False,3.475625991821289,1.481495890164721
5,0,5,1,True,10,True,False,3.4323153495788574,1.4828053149599933
2,0,0,1,True,10,True,False,3.445504903793335,1.4898189168046603
20,10,0,1,True,10,True,False,3.4513468742370605,1.4901878390423076
1,0,0,1,True,5,True,False,3.480053663253784,1.5021674375840222
4,0,5,1,True,5,True,False,3.483569622039795,1.5096895967510748
13,5,5,1,True,5,True,False,3.4691390991210938,1.514542115360028
10,5,0,1,True,5,True,False,3.4827818870544434,1.5184453217962293
16,5,10,1,True,5,True,False,3.483274221420288,1.5247298864788703
11,5,0,1,True,10,True,False,3.426025867462158,1.5268775489380104
26,10,10,1,True,10,True,False,3.463348388671875,1.5394850119354198
7,0,10,1,True,5,True,False,3.489315986633301,1.5421653760992098
8,0,10,1,True,10,True,False,3.4875781536102295,1.5521646221513874
23,10,5,1,True,10,True,False,3.5238730907440186,1.5527377900486394
17,5,10,1,True,10,True,False,3.4964513778686523,1.554624197474104
25,10,10,1,True,5,True,False,3.5377984046936035,1.5616062539969933
19,10,0,1,True,5,True,False,3.534712076187134,1.5648644240136358
3,0,5,1,True,0,True,False,3.5892605781555176,1.5673153019410295
0,0,0,1,True,0,True,False,3.523045778274536,1.5680886004102508
12,5,5,1,True,0,True,False,3.582292079925537,1.6030017950574162
24,10,10,1,True,0,True,False,3.6067512035369873,1.6045937824355534
6,0,10,1,True,0,True,False,3.604469060897827,1.6158683962165423
9,5,0,1,True,0,True,False,3.7470641136169434,1.6509184094065856
21,10,5,1,True,0,True,False,3.6465516090393066,1.6516901036537075
15,5,10,1,True,0,True,False,3.6643595695495605,1.6935866841326197
18,10,0,1,True,0,True,False,3.9199185371398926,1.7357822310223134
