,n_lags,weekly_seasonality,yearly_seasonality,RMSE,MAPE
3,4,True,True,3.5596303939819336,1.67574701126212
1,2,True,True,3.6186532974243164,1.7807701936037676
6,7,True,True,3.7364397048950195,1.8087046597972751
8,9,True,True,3.8568601608276367,1.8389805128059138
2,3,True,True,4.006882190704346,1.987402251452391
9,10,True,True,4.223830699920654,2.027017693367179
7,8,True,True,3.9644925594329834,2.0445843221391526
14,15,True,True,4.333523750305176,2.1858829574738845
11,12,True,True,4.544521808624268,2.316269630775608
0,1,True,True,4.602867126464844,2.441081253765963
4,5,True,True,5.221213340759277,2.6625120792490655
13,14,True,True,5.317935466766357,2.6762693256724757
12,13,True,True,5.6610107421875,2.958275854486485
5,6,True,True,5.869906902313232,3.12363855550831
10,11,True,True,5.976841449737549,3.1452013436644424
