,n_lags,use_holidays,weekly_seasonality,yearly_seasonality,RMSE,MAPE
1,1,True,True,False,3.523045778274536,1.5680886004102508
21,4,False,True,False,3.7018401622772217,1.5857361503846712
3,1,True,False,False,3.5502452850341797,1.5858793193296923
29,9,False,True,False,3.6694746017456055,1.5955370747233613
4,1,False,True,True,3.3928067684173584,1.604193436000018
17,4,True,True,False,3.60172700881958,1.615558069740234
0,1,True,True,True,3.4878413677215576,1.6278624968158566
2,1,True,False,True,3.521732807159424,1.6461182514488475
12,13,False,True,True,3.761808395385742,1.7165353226318796
20,4,False,True,True,3.7174947261810303,1.7233411593016883
28,9,False,True,True,3.776005268096924,1.7930394154098472
16,4,True,True,True,4.043822765350342,1.8384754734455493
30,9,False,False,True,3.942272424697876,1.8418158331753747
14,13,False,False,True,4.095580101013184,1.889726899957664
7,1,False,False,False,4.041747570037842,1.9076320731944894
25,9,True,True,False,4.383722305297852,1.9441035495093926
23,4,False,False,False,4.491330146789551,1.9663417244236208
10,13,True,False,True,4.420724868774414,1.9791420963532271
24,9,True,True,True,4.247292995452881,2.0260891737578874
26,9,True,False,True,4.745606422424316,2.2028156686530664
13,13,False,True,False,4.976478099822998,2.2418709787771265
31,9,False,False,False,5.135695457458496,2.2718682772329544
18,4,True,False,True,4.485567092895508,2.288264316880387
15,13,False,False,False,5.061501502990723,2.3158192144752685
9,13,True,True,False,5.459559917449951,2.3599535039108437
19,4,True,False,False,5.470255374908447,2.3911993828416285
27,9,True,False,False,5.362987518310547,2.485869582249464
8,13,True,True,True,5.346004009246826,2.5753064637557497
5,1,False,True,False,5.207161903381348,2.7096706906725707
6,1,False,False,True,5.310191631317139,2.806740027624992
22,4,False,False,True,5.93247127532959,2.856568609862013
11,13,True,False,False,9.3046293258667,4.095290726961294
