,MA,dealer,foreign,high_low_diff,investment,n_lags,ratio_over_1000_shares,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
8,5,1,1,5,3,1,0,5,0,0,0,True,10,True,False,3.6338608264923096,1.5417411289107612
0,5,1,1,5,3,1,0,0,0,0,0,True,10,True,False,3.45794939994812,1.5419347476486596
16,5,1,1,5,3,1,5,0,0,0,0,True,10,True,False,3.5369443893432617,1.5460002219953037
6,5,1,1,5,3,1,0,0,5,5,0,True,10,True,False,3.681378126144409,1.57503803420107
12,5,1,1,5,3,1,0,5,5,0,0,True,10,True,False,3.7388572692871094,1.581607707271998
1,5,1,1,5,3,1,0,0,0,0,5,True,10,True,False,3.677276372909546,1.5973842314838755
2,5,1,1,5,3,1,0,0,0,5,0,True,10,True,False,3.7325222492218018,1.611641298372295
17,5,1,1,5,3,1,5,0,0,0,5,True,10,True,False,3.7130937576293945,1.6190371996674318
4,5,1,1,5,3,1,0,0,5,0,0,True,10,True,False,3.7348873615264893,1.6205426548262976
24,5,1,1,5,3,1,5,5,0,0,0,True,10,True,False,3.8558762073516846,1.6276416905270974
7,5,1,1,5,3,1,0,0,5,5,5,True,10,True,False,3.852381467819214,1.642058539082193
10,5,1,1,5,3,1,0,5,0,5,0,True,10,True,False,3.9598536491394043,1.673262743506666
31,5,1,1,5,3,1,5,5,5,5,5,True,10,True,False,3.8749847412109375,1.6763954832369068
5,5,1,1,5,3,1,0,0,5,0,5,True,10,True,False,3.6644654273986816,1.683012409498701
20,5,1,1,5,3,1,5,0,5,0,0,True,10,True,False,3.74680233001709,1.6854918076578467
18,5,1,1,5,3,1,5,0,0,5,0,True,10,True,False,3.8572163581848145,1.6884446672826348
9,5,1,1,5,3,1,0,5,0,0,5,True,10,True,False,3.818922758102417,1.7110156241879524
3,5,1,1,5,3,1,0,0,0,5,5,True,10,True,False,3.7461671829223633,1.7191436346060875
11,5,1,1,5,3,1,0,5,0,5,5,True,10,True,False,4.036887168884277,1.7201391331263114
19,5,1,1,5,3,1,5,0,0,5,5,True,10,True,False,4.139687538146973,1.7324778195352293
14,5,1,1,5,3,1,0,5,5,5,0,True,10,True,False,4.084218978881836,1.7397736834522597
13,5,1,1,5,3,1,0,5,5,0,5,True,10,True,False,4.024484634399414,1.7436287290134391
21,5,1,1,5,3,1,5,0,5,0,5,True,10,True,False,3.9820706844329834,1.7549543333717665
25,5,1,1,5,3,1,5,5,0,0,5,True,10,True,False,3.997279167175293,1.7620921732349355
22,5,1,1,5,3,1,5,0,5,5,0,True,10,True,False,4.0094804763793945,1.7729608583065097
28,5,1,1,5,3,1,5,5,5,0,0,True,10,True,False,4.1350603103637695,1.8278112447926327
26,5,1,1,5,3,1,5,5,0,5,0,True,10,True,False,4.054774761199951,1.8338138138787548
15,5,1,1,5,3,1,0,5,5,5,5,True,10,True,False,4.236554145812988,1.8783995113429437
30,5,1,1,5,3,1,5,5,5,5,0,True,10,True,False,4.351824760437012,1.9223395545853055
29,5,1,1,5,3,1,5,5,5,0,5,True,10,True,False,4.435204982757568,1.923608766077111
23,5,1,1,5,3,1,5,0,5,5,5,True,10,True,False,4.38839864730835,1.9288742480269294
27,5,1,1,5,3,1,5,5,0,5,5,True,10,True,False,4.425175666809082,1.9463869423419569
