,MA,high_low_diff,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
11,5,0,3,True,10,True,False,8.592713356018066,1.7618127046097312
21,10,5,3,True,0,True,False,8.703782081604004,1.768638992268818
0,0,0,3,True,0,True,False,8.678388595581055,1.774697029907734
19,10,0,3,True,5,True,False,8.715700149536133,1.7783436764593832
18,10,0,3,True,0,True,False,8.87346363067627,1.7793218478148294
10,5,0,3,True,5,True,False,8.821412086486816,1.7950057961828647
1,0,0,3,True,5,True,False,8.750558853149414,1.79726828649007
12,5,5,3,True,0,True,False,8.848957061767578,1.8114714432521644
15,5,10,3,True,0,True,False,8.871798515319824,1.8117841555905776
2,0,0,3,True,10,True,False,9.0021333694458,1.831260772879894
3,0,5,3,True,0,True,False,8.891178131103516,1.8353071528960458
13,5,5,3,True,5,True,False,8.821686744689941,1.837156717451004
20,10,0,3,True,10,True,False,9.207727432250977,1.8530298753487915
24,10,10,3,True,0,True,False,9.253646850585938,1.8562212117899473
26,10,10,3,True,10,True,False,9.289657592773438,1.8594375343611678
8,0,10,3,True,10,True,False,9.434000968933105,1.8831940579274058
22,10,5,3,True,5,True,False,9.241545677185059,1.886375577668585
6,0,10,3,True,0,True,False,9.352466583251953,1.8932020983619717
16,5,10,3,True,5,True,False,9.517095565795898,1.911541611532643
7,0,10,3,True,5,True,False,9.599921226501465,1.9526317181944735
9,5,0,3,True,0,True,False,9.800989151000977,1.952853215681799
5,0,5,3,True,10,True,False,9.427502632141113,1.953135392012428
4,0,5,3,True,5,True,False,9.346479415893555,1.9593847793095716
17,5,10,3,True,10,True,False,9.837251663208008,1.9693955303386845
14,5,5,3,True,10,True,False,9.625486373901367,1.9783708282233585
23,10,5,3,True,10,True,False,10.274029731750488,2.1245444005722804
25,10,10,3,True,5,True,False,10.498263359069824,2.140937715555843
