,n_lags,weekly_seasonality,yearly_seasonality,RMSE,MAPE
6,7,True,True,9.806768417358398,1.975298999007776
8,9,True,True,9.781550407409668,1.9816676096482035
2,3,True,True,9.78152084350586,1.9973916993814296
3,4,True,True,10.083305358886719,2.055027896835202
9,10,True,True,11.501632690429688,2.213541902059122
1,2,True,True,11.268330574035645,2.333876645116408
13,14,True,True,12.57097053527832,2.444051205554168
10,11,True,True,12.538900375366211,2.5389441846852776
4,5,True,True,12.429874420166016,2.593914537422317
0,1,True,True,15.983720779418945,3.461896335258258
7,8,True,True,16.877098083496094,3.5347718060596827
14,15,True,True,18.209718704223633,3.7218070900062976
11,12,True,True,20.36836814880371,4.233275753937818
5,6,True,True,21.683717727661133,4.615210086732054
12,13,True,True,23.16084861755371,4.801251790882524
