,n_lags,use_holidays,weekly_seasonality,yearly_seasonality,RMSE,MAPE
17,3,True,True,False,8.678388595581055,1.774697029907734
25,4,True,True,False,8.700663566589355,1.7804363193230255
22,3,False,False,True,9.049520492553711,1.8369319198550758
29,4,False,True,False,8.96004867553711,1.845417553029041
13,9,False,True,False,9.157525062561035,1.8482748335626373
21,3,False,True,False,9.0465726852417,1.8606455674449123
23,3,False,False,False,9.07558822631836,1.865185748023849
19,3,True,False,False,9.53321361541748,1.873241575236478
10,9,True,False,True,9.535844802856445,1.9129514352530657
4,7,False,True,True,9.806768417358398,1.975298999007776
12,9,False,True,True,9.781550407409668,1.9816676096482035
20,3,False,True,True,9.78152084350586,1.9973916993814296
6,7,False,False,True,10.090047836303711,2.00762411081662
28,4,False,True,True,10.083305358886719,2.055027896835202
3,7,True,False,False,9.950736999511719,2.063688612440883
30,4,False,False,True,10.331267356872559,2.0696174672568355
9,9,True,True,False,10.534499168395996,2.0813136507130734
15,9,False,False,False,10.76962661743164,2.0949393211453353
31,4,False,False,False,10.575577735900879,2.1020916441915025
5,7,False,True,False,10.716508865356445,2.1189137296598983
18,3,True,False,True,10.5683012008667,2.1279239407340076
11,9,True,False,False,10.620505332946777,2.1544620783221853
27,4,True,False,False,11.079911231994629,2.195742095674199
1,7,True,True,False,11.191452026367188,2.2435586134257517
8,9,True,True,True,11.00245475769043,2.2454839549932903
7,7,False,False,False,11.150041580200195,2.3412649679947646
24,4,True,True,True,12.287814140319824,2.547856808293974
16,3,True,True,True,15.983146667480469,3.4098055073651685
14,9,False,False,True,19.092037200927734,3.9717280946531646
26,4,True,False,True,20.116361618041992,4.358949912953313
2,7,True,False,True,21.690916061401367,4.562154855871324
0,7,True,True,True,22.728347778320312,4.877566968302487
