,MA,dealer,foreign,high_low_diff,investment,n_lags,ratio_over_1000_shares,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,5,5,1,0,5,3,0,0,0,0,0,True,10,True,False,9.069311141967773,1.8359936807735937
3,5,5,1,0,5,3,0,0,0,5,5,True,10,True,False,9.981046676635742,2.005022147747609
18,5,5,1,0,5,3,5,0,0,5,0,True,10,True,False,10.064452171325684,2.0600565306950527
7,5,5,1,0,5,3,0,0,5,5,5,True,10,True,False,10.56060791015625,2.075691529332967
1,5,5,1,0,5,3,0,0,0,0,5,True,10,True,False,10.435674667358398,2.0816993001144897
16,5,5,1,0,5,3,5,0,0,0,0,True,10,True,False,10.500831604003906,2.107141373993311
6,5,5,1,0,5,3,0,0,5,5,0,True,10,True,False,10.249061584472656,2.1098756644678796
5,5,5,1,0,5,3,0,0,5,0,5,True,10,True,False,10.524964332580566,2.112985978657053
19,5,5,1,0,5,3,5,0,0,5,5,True,10,True,False,10.719457626342773,2.116343762428562
17,5,5,1,0,5,3,5,0,0,0,5,True,10,True,False,11.03459358215332,2.1820423952070107
4,5,5,1,0,5,3,0,0,5,0,0,True,10,True,False,11.029019355773926,2.2581164827143745
11,5,5,1,0,5,3,0,5,0,5,5,True,10,True,False,11.588146209716797,2.2844022657750735
8,5,5,1,0,5,3,0,5,0,0,0,True,10,True,False,11.335029602050781,2.2946573220457807
9,5,5,1,0,5,3,0,5,0,0,5,True,10,True,False,11.579042434692383,2.299578191266425
10,5,5,1,0,5,3,0,5,0,5,0,True,10,True,False,11.340347290039062,2.307051548806776
25,5,5,1,0,5,3,5,5,0,0,5,True,10,True,False,11.68844223022461,2.3141450129644348
2,5,5,1,0,5,3,0,0,0,5,0,True,10,True,False,11.752010345458984,2.3178488274919964
13,5,5,1,0,5,3,0,5,5,0,5,True,10,True,False,11.889182090759277,2.3417013667623063
22,5,5,1,0,5,3,5,0,5,5,0,True,10,True,False,11.574029922485352,2.3862574551980686
20,5,5,1,0,5,3,5,0,5,0,0,True,10,True,False,11.563940048217773,2.396646560208766
21,5,5,1,0,5,3,5,0,5,0,5,True,10,True,False,11.973671913146973,2.420449826168349
14,5,5,1,0,5,3,0,5,5,5,0,True,10,True,False,11.941730499267578,2.4286245357395946
12,5,5,1,0,5,3,0,5,5,0,0,True,10,True,False,11.885543823242188,2.434276681273436
28,5,5,1,0,5,3,5,5,5,0,0,True,10,True,False,12.029672622680664,2.4471314932403616
15,5,5,1,0,5,3,0,5,5,5,5,True,10,True,False,12.015131950378418,2.4696458618241857
24,5,5,1,0,5,3,5,5,0,0,0,True,10,True,False,12.15573501586914,2.475055960904638
23,5,5,1,0,5,3,5,0,5,5,5,True,10,True,False,12.206913948059082,2.4978619464063376
31,5,5,1,0,5,3,5,5,5,5,5,True,10,True,False,12.826166152954102,2.6125319336891653
26,5,5,1,0,5,3,5,5,0,5,0,True,10,True,False,12.820428848266602,2.6400071456649474
27,5,5,1,0,5,3,5,5,0,5,5,True,10,True,False,12.923725128173828,2.6530197033107235
29,5,5,1,0,5,3,5,5,5,0,5,True,10,True,False,13.126264572143555,2.697153362659834
30,5,5,1,0,5,3,5,5,5,5,0,True,10,True,False,14.29102611541748,3.044415984959167
