,MA,dealer,foreign,high_low_diff,investment,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,0,1,1,0,1,2,False,0,False,True,7.029047012329102,1.390517537110086
1,0,1,1,0,3,2,False,0,False,True,7.4391655921936035,1.4342735198234373
20,0,5,1,0,5,2,False,0,False,True,7.674698352813721,1.4818378588872732
9,0,3,1,0,1,2,False,0,False,True,7.705727577209473,1.5295751302427436
18,0,5,1,0,1,2,False,0,False,True,7.924188137054443,1.5474440112344852
21,0,5,3,0,1,2,False,0,False,True,8.533737182617188,1.6344996884700849
15,0,3,5,0,1,2,False,0,False,True,8.402097702026367,1.6516643715109038
13,0,3,3,0,3,2,False,0,False,True,9.274435043334961,1.7516132256415309
2,0,1,1,0,5,2,False,0,False,True,9.428638458251953,1.7985778978617133
10,0,3,1,0,3,2,False,0,False,True,9.82047176361084,1.8105569150418683
19,0,5,1,0,3,2,False,0,False,True,9.56831169128418,1.854156708655981
12,0,3,3,0,1,2,False,0,False,True,10.792224884033203,2.0544064494947607
11,0,3,1,0,5,2,False,0,False,True,10.356057167053223,2.0853279483606353
24,0,5,5,0,1,2,False,0,False,True,10.955526351928711,2.130317484249058
4,0,1,3,0,3,2,False,0,False,True,10.929178237915039,2.1370230742546643
22,0,5,3,0,3,2,False,0,False,True,11.069367408752441,2.1644544153312997
14,0,3,3,0,5,2,False,0,False,True,11.090484619140625,2.1874798534596027
5,0,1,3,0,5,2,False,0,False,True,11.736166954040527,2.220309003119732
7,0,1,5,0,3,2,False,0,False,True,11.488560676574707,2.294460512286168
16,0,3,5,0,3,2,False,0,False,True,11.64535903930664,2.311248629036189
26,0,5,5,0,5,2,False,0,False,True,11.60588550567627,2.312108643638807
8,0,1,5,0,5,2,False,0,False,True,11.591778755187988,2.3219546271540783
3,0,1,3,0,1,2,False,0,False,True,12.036940574645996,2.48707531199403
17,0,3,5,0,5,2,False,0,False,True,15.332381248474121,2.8102496912589916
25,0,5,5,0,3,2,False,0,False,True,16.79918670654297,3.2351319777397247
23,0,5,3,0,5,2,False,0,False,True,20.0672607421875,3.8284717148743277
6,0,1,5,0,1,2,False,0,False,True,21.216394424438477,4.550154560519648
