,n_lags,weekly_seasonality,yearly_seasonality,RMSE,MAPE
6,7,True,True,17.154245376586914,2.081941257125567
7,8,True,True,17.460750579833984,2.1125014504629975
3,4,True,True,18.289615631103516,2.1597148042004326
11,12,True,True,18.228883743286133,2.1915415413729873
8,9,True,True,18.735570907592773,2.2124415161200996
2,3,True,True,18.160520553588867,2.246454208055659
4,5,True,True,19.494873046875,2.282383551811409
1,2,True,True,18.772480010986328,2.3068859450359054
12,13,True,True,20.568603515625,2.3939455845921027
14,15,True,True,20.979454040527344,2.4821619606944227
10,11,True,True,21.254405975341797,2.519443628019882
9,10,True,True,21.97333526611328,2.5508119213310807
5,6,True,True,22.992647171020508,2.7664517344993214
13,14,True,True,23.76746940612793,2.8908223689037844
0,1,True,True,35.26726531982422,4.173891045916359
