,MA,high_low_diff,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
5,0,5,1,True,10,False,True,18.332609176635742,2.109945523937363
17,5,10,1,True,10,False,True,18.583087921142578,2.134947400332813
7,0,10,1,True,5,False,True,18.687284469604492,2.1361324856820336
8,0,10,1,True,10,False,True,18.83386993408203,2.151342201046063
11,5,0,1,True,10,False,True,18.321258544921875,2.1515318992227
19,10,0,1,True,5,False,True,18.48851776123047,2.1630596203420187
0,0,0,1,True,0,False,True,18.378049850463867,2.1653616395881596
13,5,5,1,True,5,False,True,18.329790115356445,2.173176599056306
21,10,5,1,True,0,False,True,18.707876205444336,2.178776762855671
26,10,10,1,True,10,False,True,18.936485290527344,2.1820960103906697
15,5,10,1,True,0,False,True,18.716114044189453,2.1850506730713213
14,5,5,1,True,10,False,True,18.87633514404297,2.202169669834363
18,10,0,1,True,0,False,True,19.002904891967773,2.21229721864224
1,0,0,1,True,5,False,True,19.002222061157227,2.230588829721855
20,10,0,1,True,10,False,True,19.20524024963379,2.2306199722687308
16,5,10,1,True,5,False,True,19.391197204589844,2.2429082211022906
23,10,5,1,True,10,False,True,19.425880432128906,2.261166509926278
25,10,10,1,True,5,False,True,20.065690994262695,2.3441729061491694
22,10,5,1,True,5,False,True,20.24378776550293,2.3654990216637573
3,0,5,1,True,0,False,True,20.12424659729004,2.3662520215227296
24,10,10,1,True,0,False,True,20.359508514404297,2.368711654005236
2,0,0,1,True,10,False,True,21.096317291259766,2.5176221682366
10,5,0,1,True,5,False,True,21.3883056640625,2.5300597187960685
4,0,5,1,True,5,False,True,21.717763900756836,2.606680473800007
12,5,5,1,True,0,False,True,22.646041870117188,2.6908373396150322
9,5,0,1,True,0,False,True,24.08795166015625,2.8927123254553613
6,0,10,1,True,0,False,True,25.826570510864258,3.1573407667382156
