,n_lags,use_holidays,weekly_seasonality,yearly_seasonality,RMSE,MAPE
2,1,True,False,True,18.378049850463867,2.1653616395881596
0,1,True,True,True,18.444604873657227,2.1727246475327875
4,1,False,True,True,18.68536949157715,2.1904512055787517
7,1,False,False,False,18.602956771850586,2.197653342296315
12,8,False,True,True,18.74985694885254,2.2157791369641204
3,1,True,False,False,18.529109954833984,2.229306881342811
1,1,True,True,False,18.557640075683594,2.2318804066308213
20,4,False,True,True,18.717273712158203,2.2357189465989755
28,13,False,True,True,19.606491088867188,2.2400720153197464
17,4,True,True,False,19.008251190185547,2.251861516455454
5,1,False,True,False,19.48516845703125,2.2843387229022007
18,4,True,False,True,20.249834060668945,2.3430499870019847
6,1,False,False,True,20.2092227935791,2.3980942053434937
13,8,False,True,False,20.852954864501953,2.4054256940018157
30,13,False,False,True,20.421337127685547,2.4332856250069312
16,4,True,True,True,20.75541877746582,2.4754108010066984
8,8,True,True,True,21.623676300048828,2.524539826765044
9,8,True,True,False,23.10942268371582,2.657380355233584
15,8,False,False,False,23.85053825378418,2.716265643140271
11,8,True,False,False,22.61669158935547,2.7439834497189826
26,13,True,False,True,23.824613571166992,2.811476064368398
24,13,True,True,True,24.384376525878906,2.850422292638819
10,8,True,False,True,23.88902473449707,2.875261449077814
29,13,False,True,False,25.49829864501953,2.9071324270239924
31,13,False,False,False,25.582509994506836,2.988682140322777
23,4,False,False,False,26.31279754638672,3.0653347759917
14,8,False,False,True,26.026138305664062,3.1325584494513574
22,4,False,False,True,26.771886825561523,3.1811157817019855
21,4,False,True,False,28.49296760559082,3.348887087372885
19,4,True,False,False,29.320283889770508,3.394698761520375
25,13,True,True,False,30.539928436279297,3.45608527869624
27,13,True,False,False,54.018516540527344,6.3549936504820295
